ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΣΑΜΑΡΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΓΥΦΤΕΑ ΜΑΡΙΑ-ΕΛΕΝΗ του Δημητρίου,ΚΟΥΜΑΝΤΟΥ ΠΑΝΑΓΙΩΤΑ (ΠΙΠΙΝΑ) του Παναγή,ΛΑΜΠΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΜΑΝΤΑΣ ΠΕΡΙΚΛΗΣ του Παντελή,ΝΙΚΑ ΠΑΝΑΓΙΩΤΑ του Ευαγγέλου,ΧΡΥΣΟΜΑΛΛΗΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Παναγιώτη,ΣΥΡΙΖΑ,ΒΕΡΓΙΝΑΔΗ ΜΑΡΙΑ του Νικήτα,ΖΑΧΑΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ (ΓΙΟΥΛΑ) του Αντωνίου,ΚΙΟΥΡΗ ΧΑΡΙΚΛΕΙΑ (ΧΑΡΑ) του Δημητρίου,ΚΩΝΣΤΑΝΤΙΝΕΑΣ ΠΕΤΡΟΣ του Νικολάου,ΜΑΚΑΡΗΣ ΕΜΜΑΝΟΥΗΛ ΛΕΟΝΑΡΔΟΣ (ΜΑΝΩΛΗΣ) του Ιωάννη,ΣΤΕΦΑΝΟΣ ΠΑΝΑΓΙΩΤΗΣ του Λάμπρου,ΧΑΡΙΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΞΗΣ) του Βύρωνα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΔΑΜΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΓΕΡΟΝΙΚΟΛΟΣ ΜΕΝΕΛΑΟΣ του Κωνσταντίνου,ΚΑΖΑΚΟΥ ΑΡΙΣΤΕΑ του Παναγιώτη,ΛΥΜΠΕΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Αντωνίου,ΞΗΡΟΓΙΑΝΝΗΣ ΠΕΡΙΚΛΗΣ του Αλεξάνδρου,ΠΙΕΡΡΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΠΩΡΟΣ ΣΠΥΡΟΣ (ΣΠΥΡΙΔΩΝ) του Γεωργίου,Κ.Κ.Ε.,ΚΑΝΤΖΙΛΙΕΡΗ ΧΡΙΣΤΙΝΑ ΕΛΕΥΘΕΡΙΑ του Παναγιώτη,ΚΟΜΠΟΤΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Γεωργίου,ΚΟΥΚΟΥΜΗ ΕΙΡΗΝΗ του Σαράντου,ΚΟΥΤΟΥΜΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σαράντου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΜΥΡΝΗΣ ΑΡΓΥΡΙΟΣ του Αντωνίου,ΧΡΗΣΤΕΑ ΣΤΕΛΛΑ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΡΝΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΝΕΓΡΕΠΟΝΤΗ ΑΝΝΑ του Αντωνίου,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΑ του Θεοδώρου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΣΠΑΣΙΑ του Αλεξάνδρου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΥΣΤΑΘΙΟΣ του Βασιλείου,ΠΕΤΡΟΜΙΧΕΛΗ ΠΑΥΛΙΝΑ- ΒΑΣΙΛΙΚΗ του Βασιλείου,ΣΑΚΕΛΛΑΡΙΑΔΗΣ ΗΛΙΑΣ του Παντελή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΔΟΥΛΑΜΗ ΠΕΤΡΟΥΛΑ του Χαραλάμπους,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΘΕΟΔΩΡΑ (ΔΩΡΑ) του Μιχαήλ,ΚΑΝΕΛΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΚΥΒΕΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΗΤΣΗ ΜΑΡΙΑ του Δημητρίου,ΜΠΑΚΑΣ ΙΑΣΩΝ του Δημητρίου,ΧΡΙΣΤΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΙΑΝΝΕΛΟΥ ΣΟΦΙΑ του Παναγιώτη,ΛΟΥΚΑΚΟΣ ΜΙΛΤΙΑΔΗΣ του Κωνσταντίνου,ΣΟΦΤΣΗΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΥΓΕΝΙΟΣ του Ευστάθιου,ΦΩΤΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,Ο.Κ.Δ.Ε.,ΣΠΙΝΟΣ ΝΙΚΟΛΑΟΣ του Ευστρατίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΩΡΓΙΤΣΟΠΟΥΛΟΥ ΕΥΣΤΑΘΙΑ του Ηλία,ΚΑΠΕΤΑΝΑΚΗ ΧΑΡΙΚΛΕΙΑ του Ιωάννου,ΚΑΤΣΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΚΟΣΜΑΣ ΑΠΟΣΤΟΛΟΣ του Χρήστου,ΜΑΡΑΝΤΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΝΙΚΟΥ ΔΟΝΑΤΟΣ του Γεωργίου,ΦΕΣΣΑ ΧΡΥΣΟΥΛΑ (ΣΥΛΒΙΑ) του Δημητρίου,Κίνημα 21,ΖΟΡΜΠΑΣ ΒΑΣΙΛΕΙΟΣ του Παύλου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΑΡΔΑΚΗ ΑΝΝΑ του Σπυρίδωνος,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΣΑΝΤΟΥΛΗ ΗΛΕΚΤΡΑ του Γεωργίου,ΤΣΙΚΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΧΑΡΜΠΙΛΑΣ ΒΑΣΙΛΕΙΟΣ του Περικλή,ΝΙΚΗ,ΑΔΑΜΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χαρίλαου,ΠΑΠΑΝΤΩΝΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΕΤΡΑΚΟΠΟΥΛΟΣ ΦΩΤΙΟΣ του Παναγιώτη,ΠΕΤΡΟΠΟΥΛΟΥ ΧΡΙΣΤΙΝΑ του Νικολάου,ΤΣΙΧΛΑΚΗ ΔΗΜΗΤΡΑ του Σταύρου,κοινωνία αξιών,ΣΙΑΒΕΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΝΔΡΕΑΔΟΥ ΝΑΤΑΛΙΑ του Γεωργίου,ΖΕΠΠΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΑΥΡΟΜΜΑΤΗ ΖΕΠΠΟΥ ΑΡΓΥΡΩ του Νικολάου,ΠΟΛΥΧΡΟΝΗΣ ΔΗΜΗΤΡΙΟΣ του Σίμου,ΦΩΤΕΙΝΟΣ ΚΩΝΑΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Διονυσίου,Μ-Λ Κ.Κ.Ε.,ΚΑΤΣΑΦΑΔΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΓΕΩΡΓΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΚΑΝΔΥΛΑΣ ΣΩΤΗΡΙΟΣ του Δημητρίου,ΠΑΥΛΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Ανδρέα,ΠΕΤΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΣΑΜΨΩΝΑ ΑΘΗΝΑ του Σπυρίδων,ΤΣΕΡΠΕΣ ΧΡΟΝΗΣ του Ευσταθίου,Ένωση Κεντρώων,ΓΑΛΛΟΥ ΠΑΝΑΓΙΩΤΑ του Αδάμ,ΔΙΟΝΥΣΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Σωτηρίου,ΚΑΖΑΝΗΣ ΔΗΜΟΣΘΕΝΗΣ του Κωνσταντίνου,ΜΠΕΤΣΙΟΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΨΑΡΡΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΙΖΑ ΚΑΛΛΙΡΟΗ του Κωνσταντίνου,ΚΑΡΑΜΠΑΤΣΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΠΑΠΑΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΛΑΖΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΜΙΧΑΛΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΒΕΛΑΣ ΒΑΣΙΛΕΙΟΣ του Αλεξίου,ΣΑΡΕΛΛΑ ΧΡΙΣΤΙΝΑ του Φωτίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΚΟΡΓΚΟΛΙΑ ΕΙΡΗΝΗ του Σταύρου,ΓΡΑΜΜΑΤΙΚΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χριστόδουλου,ΚΟΥΒΑΤΣΟΥ ΦΩΤΕΙΝΗ του Κωνσταντίνου,ΜΠΕΝΕΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΓΑΒΡΙΗΛ) του Δημητρίου,ΝΤΡΟΥΛΙΑΣ (ΔΡΟΥΛΙΑΣ) ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΑΝ...,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαραλάμπους,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΑΜΠΡΑΚΟΣ ΛΑΜΠΡΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΑΣΙΟΥΛΑ ΛΑΜΠΡΙΝΗ του Αλεξάνδρου
46 - Μεσσηνίας,110 E.T. Δήμου Καλαμάτας,518,341,3,2,5,336,108,108,18,12,39,31,3,44,89,18,3,10,17,28,12,52,41,23,20,7,1,16,0,0,16,6,4,0,3,1,1,3,20,7,5,3,1,5,2,3,15,1,2,4,2,1,4,1,5,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,11,4,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,2,3,2,1,0,0,0,3,1,2,1,0,4,2,1,0,0,1,0,0,1,1,9,6
46 - Μεσσηνίας,111 E.T. Δήμου Καλαμάτας,502,329,8,2,10,319,154,154,17,35,39,44,11,69,50,16,2,4,7,13,2,28,22,4,4,2,3,3,6,2,33,10,4,1,18,3,1,9,10,3,1,1,0,4,3,0,10,1,3,4,0,2,2,2,3,2,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,1,0,4,1,0,0,0,0,7,4,2,3,1,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2,0,3,2,1,4,2,1,2,1,1,1,0,2,0,0,2,0,0,1,0,1,1,0,0,0,3,2
46 - Μεσσηνίας,112 E.T. Δήμου Καλαμάτας,554,333,5,1,6,327,127,127,28,17,36,31,11,41,89,19,1,6,19,30,12,40,37,10,16,5,5,9,7,4,21,8,6,4,6,0,0,8,10,1,0,1,2,3,2,1,9,1,2,0,1,0,1,0,5,2,2,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,2,2,1,5,1,3,1,0,1,0,0,1,0,8,4
46 - Μεσσηνίας,113 E.T. Δήμου Καλαμάτας,514,311,5,2,7,304,135,135,20,31,38,27,10,65,57,12,4,6,16,16,8,26,30,7,14,5,1,6,5,3,28,13,5,3,8,2,1,4,14,6,5,5,2,4,1,0,10,5,2,1,1,1,3,1,3,1,3,0,0,0,0,0,0,6,1,1,2,1,1,1,1,2,2,0,0,0,0,0,0,6,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,2,0,0,1,1,0,2,1,0,0,5,4
46 - Μεσσηνίας,114 E.T. Δήμου Καλαμάτας,531,318,8,2,10,308,136,136,19,26,41,26,15,50,66,13,6,2,14,27,5,39,31,8,10,5,1,14,2,2,15,4,4,2,4,1,2,3,10,5,4,2,2,1,0,0,14,2,0,2,4,4,3,1,5,1,5,0,0,0,0,0,0,2,1,1,1,0,0,1,0,2,2,0,0,0,0,0,0,7,4,2,0,4,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,1,2,1,1,1,1,2,1,2,4,2,1,1,0,1,0,0,0,0,5,5
46 - Μεσσηνίας,115 E.T. Δήμου Καλαμάτας,518,371,5,3,8,363,163,163,27,27,46,43,9,63,76,20,1,12,8,21,12,32,33,9,10,7,3,9,4,2,24,7,4,2,8,0,0,8,10,3,5,2,1,2,2,1,12,0,3,0,2,1,1,1,2,0,2,1,2,0,0,1,0,3,0,0,0,0,0,0,0,2,1,5,2,3,0,1,0,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,1,3,1,2,0,1,0,4,2,4,2,2,0,0,0,0,0,0,0,0,0,0,7,5
46 - Μεσσηνίας,116 E.T. Δήμου Καλαμάτας,529,328,10,1,11,317,139,139,26,27,34,39,8,68,56,8,4,9,15,26,3,27,36,9,10,11,4,7,5,2,25,13,9,1,13,3,0,3,8,1,2,1,0,3,0,2,15,4,2,4,2,3,3,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,4,2,0,1,1,2,11,1,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,2,1,1,0,0,1,1,0,0,0,7,3
46 - Μεσσηνίας,117 E.T. Δήμου Καλαμάτας,536,328,6,0,6,322,131,131,18,27,51,33,8,49,70,14,4,12,8,25,8,37,28,16,8,6,3,8,3,3,21,7,8,1,10,3,0,2,19,5,5,2,1,5,1,4,12,2,3,3,0,2,5,2,3,1,2,1,0,0,0,0,0,3,1,1,1,0,1,1,0,2,2,7,3,4,1,1,3,8,2,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,1,0,0,4,2,1,2,0,0,0,0,0,0,8,4
46 - Μεσσηνίας,118 E.T. Δήμου Καλαμάτας,526,330,1,7,8,322,143,143,28,17,38,41,6,65,85,16,2,15,10,33,8,57,22,7,9,1,1,9,5,0,22,9,9,2,12,2,0,6,13,1,1,2,1,4,1,4,9,2,1,0,3,1,4,0,2,1,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,6,2,2,0,1,1,6,5,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,5,2
46 - Μεσσηνίας,119 E.T. Δήμου Καλαμάτας,522,334,12,2,14,320,133,133,22,22,39,32,8,58,73,14,5,7,12,29,2,43,30,5,6,2,3,7,5,3,13,4,0,0,3,2,0,2,10,1,2,1,1,3,2,1,12,1,1,0,0,1,3,2,1,0,1,0,1,1,1,0,0,9,4,1,4,0,1,2,3,0,0,1,1,0,0,0,0,7,4,2,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,2,1,0,0,0,1,0,0,1,0,0,0,1,1,3,2,4,1,10,5
46 - Μεσσηνίας,120 E.T. Δήμου Καλαμάτας,543,332,2,1,3,329,121,121,18,15,31,39,7,58,98,20,3,9,17,34,9,59,33,9,12,8,1,11,7,3,26,4,2,2,7,2,1,6,12,1,2,2,1,7,1,1,14,4,4,2,1,1,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,5,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0
46 - Μεσσηνίας,121 E.T. Δήμου Καλαμάτας,519,302,9,3,12,290,114,114,12,29,37,36,8,41,80,14,3,14,14,25,8,40,18,4,7,3,0,7,2,1,15,4,2,0,13,0,1,5,15,5,3,2,3,5,2,2,9,1,0,2,0,2,4,1,5,3,3,3,0,0,0,0,0,3,1,2,1,0,0,1,0,3,2,4,2,2,1,0,1,6,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,3,2,3,1,0,0,1,0,1,1,1,2,2,0,2,0,0,1,1,0,0,6,2
46 - Μεσσηνίας,122 E.T. Δήμου Καλαμάτας,524,320,6,0,6,314,133,133,20,24,46,29,11,56,77,29,4,16,10,29,13,31,29,6,8,5,2,17,6,1,29,13,4,1,11,3,0,8,11,3,3,0,1,3,1,1,8,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,3,1,0,2,1,0,1,1,0,0,6,4
46 - Μεσσηνίας,123 E.T. Δήμου Καλαμάτας,518,294,4,2,6,288,131,131,24,17,47,28,17,37,73,27,2,9,13,19,3,45,23,7,8,2,2,8,4,1,24,7,7,0,5,1,0,7,8,1,4,0,0,4,1,1,7,2,2,3,1,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,8,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,1,0,0,0,0,3,3
46 - Μεσσηνίας,124 E.T. Δήμου Καλαμάτας,513,299,2,2,4,295,115,115,19,26,37,33,4,56,72,18,1,16,14,17,9,36,22,6,3,9,1,6,4,2,26,10,6,3,11,2,1,6,9,2,1,1,0,1,2,2,10,1,0,3,1,2,1,3,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0,3,2,1,1,0,0,12,6,2,1,2,3,0,0,1,0,0,1,0,1,0,0,0,0,3,0,2,0,1,2,0,1,1,0,0,0,0,2,1,2,2,1,0,0,0,1,1,0,0,0,4,1,0,0,0,0,1,1,1,1,5,4
46 - Μεσσηνίας,125 E.T. Δήμου Καλαμάτας,524,309,8,2,10,299,133,133,12,32,47,17,9,61,67,20,0,10,8,16,6,43,14,6,1,3,2,5,5,0,31,8,10,4,12,3,2,1,5,1,0,0,2,2,1,0,10,3,2,3,0,2,2,3,3,1,3,2,0,0,0,0,0,3,0,1,3,0,0,0,0,2,0,3,1,2,1,1,1,6,4,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,0,0,4,3,2,2,1,1,1,0,1,0,0,1,1,1,1,8,2
46 - Μεσσηνίας,126 E.T. Δήμου Καλαμάτας,532,315,7,3,10,305,132,132,21,18,44,39,11,58,51,12,7,11,6,16,5,24,25,12,3,8,4,8,5,0,21,11,2,0,5,0,0,6,15,6,4,1,0,5,1,3,7,0,1,2,1,0,2,2,4,3,3,1,1,0,0,0,0,5,1,1,3,0,0,1,0,4,3,4,0,2,0,0,1,8,0,1,0,5,2,0,0,2,0,1,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,1,1,0,2,0,2,0,0,1,0,0,0,0,2,2,1,3,1,1,0,2,2,2,2,1,1,9,5
46 - Μεσσηνίας,127 E.T. Δήμου Καλαμάτας,525,318,2,0,2,316,139,139,18,20,48,33,14,63,73,16,1,9,15,20,13,40,17,3,4,2,2,5,2,4,22,8,6,2,6,1,2,6,17,4,3,1,1,9,2,1,11,3,2,1,2,1,7,1,8,2,4,1,0,0,0,0,0,3,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,0,1,1,1,1,1,0,0,1,1,2,2,0,0,0,3,2,2,1,1,0,0,0,1,1,6,0
46 - Μεσσηνίας,128 E.T. Δήμου Καλαμάτας,534,315,14,3,17,298,134,134,25,21,50,36,11,48,66,15,5,14,17,22,9,31,29,7,17,7,2,6,7,3,19,10,4,4,5,1,4,5,7,2,1,1,1,4,1,0,5,0,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,1,0,2,0,0,0,0,1,0,3,2,0,1,0,0,6,5,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,2,1,1,0,0,3,1,0,1,0,0,1,0,1,0,10,6
46 - Μεσσηνίας,129 E.T. Δήμου Καλαμάτας,516,338,3,2,5,333,135,135,24,13,52,39,8,49,77,17,4,9,18,28,4,40,28,7,8,4,2,9,5,0,25,6,2,0,6,3,2,6,9,4,4,2,0,4,0,2,16,4,2,4,1,5,1,3,3,2,2,0,1,1,1,0,0,5,1,0,0,1,0,0,1,4,3,0,0,0,0,0,0,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,1,0,7,5,2,4,0,0,1,1,1,0,0,3,1,1,1,0,2,0,0,0,0,9,4
46 - Μεσσηνίας,130 E.T. Δήμου Καλαμάτας,487,316,7,2,9,307,121,121,19,26,38,33,9,52,79,18,5,6,14,25,10,48,41,17,9,9,3,10,7,3,18,7,6,0,5,1,2,2,4,0,2,1,0,0,0,0,12,2,1,1,1,1,2,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,2,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,3,2,1,1,0,0,1,0,3,0,0,4,1,0,1,0,0,1,0,0,0,5,2
46 - Μεσσηνίας,131 E.T. Δήμου Καλαμάτας,540,321,7,0,7,314,123,123,21,25,39,44,8,47,81,25,5,11,14,26,10,50,24,2,12,3,1,11,3,1,21,7,2,2,4,2,2,6,13,1,3,4,2,5,0,3,12,2,0,2,2,0,0,0,2,1,0,1,0,0,0,0,0,3,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,12,5,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,1,2,3,3,2,0,1,1,1,5,3,2,1,0,0,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,3,0
46 - Μεσσηνίας,132 E.T. Δήμου Καλαμάτας,524,358,3,6,9,349,159,159,21,41,52,34,9,64,72,15,0,12,14,26,4,38,27,8,9,5,4,8,1,5,32,14,2,2,10,5,3,5,17,4,4,2,0,4,2,3,10,3,2,3,1,3,4,1,2,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,8,3,2,3,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,2,0,0,8,3
46 - Μεσσηνίας,133 E.T. Δήμου Καλαμάτας,527,330,5,2,7,323,111,111,16,12,36,22,2,47,76,24,6,8,10,27,11,33,39,13,14,2,5,12,6,1,34,14,3,3,8,3,2,6,12,2,0,2,1,1,3,2,6,1,3,0,0,1,1,0,2,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,9,7,2,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,3,0,1,1,14,7
46 - Μεσσηνίας,134 E.T. Δήμου Καλαμάτας,530,301,3,1,4,297,114,114,17,13,32,34,5,57,71,13,4,11,18,22,8,32,39,10,17,3,7,8,4,1,21,13,0,0,8,1,1,5,4,1,1,2,0,0,1,1,9,3,2,4,0,2,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,4,2,1,0,0,0,0,0,5,4,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,1,1,0,0,2,1,2,1,1,1,0,0,0,0,0,3,1,1,1,11,6
46 - Μεσσηνίας,135 E.T. Δήμου Καλαμάτας,531,335,6,4,10,325,131,131,24,15,48,35,4,51,77,12,10,11,11,29,6,38,44,15,14,4,3,6,3,4,31,9,2,1,21,4,2,8,8,2,0,0,3,2,1,3,5,3,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,2,1,0,1,0,0,1,0,0,0,6,4
