ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΩΤΣΗΡΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΛΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΠΑΡΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΜΠΟΥΡΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΑΝΟΗΛΙΑ ΜΑΡΙΑ του Χρήστου,ΠΟΥΛΗΣ ΣΤΑΜΑΤΙΟΣ του Κυριάκου,ΣΥΡΙΖΑ,ΒΟΥΤΥΡΑΚΟΥ ΔΙΑΛΕΚΤΗ ΑΘΗΝΑ (ΔΙΑΝΑ) του Κωνσταντίνου,ΝΕΦΕΛΟΥΔΗΣ ΑΝΔΡΕΑΣ του Παύλου,ΠΑΝΤΖΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα Αριστοτέλη,ΠΑΠΠΑ ΠΑΝΑΓΙΩΤΑ του Χαράλαμπου,ΣΤΕΦΑΤΟΥ ΔΙΟΝΥΣΙΑ του Παναγή,ΤΣΙΠΡΑΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΚΑΜΙΩΤΑΚΗ ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΒΟΥΓΙΑΝΤΖΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΠΕΡΟΥΚΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Παντελή,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΥΨΗΛΑΝΤΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΧΑΤΖΗΛΕΡΗΣ ΚΥΡΙΑΚΟΣ του Γεωργίου,Κ.Κ.Ε.,ΓΚΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,ΘΕΟΔΩΡΟΥ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Παναγιώτη,ΜΕΝΙΔΙΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Ιωάννη,ΠΑΠΑΔΑΤΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΠΑΠΑΣΤΑΥΡΟΥ ΚΥΡΙΛΛΟΣ του Χρυσοστόμου,ΤΣΟΚΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΚΑΤΣΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Στέλιου,ΛΥΚΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Χαράλαμπου,ΣΑΒΒΙΔΟΥ ΔΕΣΠΟΙΝΑ του Χρήστου,ΤΑΜΗΛΙΑΣ ΣΠΥΡΟΣ του Αλέξανδρου,ΤΑΤΜΙΧΑΛΗΣ ΑΝΔΡΕΑΣ του Φίλιππου,ΤΟΛΗ ΧΡΥΣΟΥΛΑ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΓΙΟΜΥΡΓΙΑΝΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΛΕΝΗ ΔΗΜΗΤΡΑ του Αναστασίου,ΚΑΛΥΒΑΣ ΕΥΑΓΓΕΛΟΣ του Βασιλείου,ΚΛΩΚΑ ΜΑΡΙΑΝΕΛΛΑ του Γεωργίου,ΠΟΛΥΧΡΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Πολυχρόνη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΑΠΟΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΚΑΡΥΑΝΔΗ ΑΘΗΝΑ του Αντωνίου,ΛΑΜΠΡΟΥ ΜΙΧΑΗΛ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΟΓΙΑ ΜΑΡΙΝΑ του Γεωργίου,ΤΣΟΠΕΛΑΚΗΣ ΗΡΑΚΛΗΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΜΠΑΡΔΑΚΑΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΚΙΟΚΑΣ ΑΓΓΕΛΟΣ του Αναργύρου,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΛΙΑ) του Γεωργίου,ΖΟΥΠΑ ΣΤΥΛΙΑΝΗ του Δημητρίου,ΚΑΤΑΡΑΧΙΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΥΔΩΡΟΣ  ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΤΡΙΧΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παύλου,Κίνημα 21,ΘΩΜΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΚΟΝΤΟΓΙΑΝΝΙΔΟΥ ΑΛΑΤΑ ΧΡΙΣΤΙΝΑ ΕΛΕΝΗ του Παύλου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΤΑΤΙΑΝΑ του Ιωάννη,ΜΠΟΥΣΜΠΟΥΚΕΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΠΟΝΗΡΕΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΦΩΚΑΣ ΙΩΑΝΝΗΣ του Κοσμά,ΝΙΚΗ,ΑΜΠΑΔΟΓΙΑΝΝΗ ΕΥΑΝΘΙΑ του Νικολάου,ΚΟΤΣΟΧΕΙΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΥ ΓΕΩΡΓΙΑ του Ευάγγελου,ΠΑΛΑΙΤΣΑΚΗΣ ΓΙΩΡΓΟΣ του Ιωάννη,ΣΥΜΠΟΥΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,ΤΣΑΝΕΚΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,κοινωνία αξιών,ΚΑΛΟΓΕΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΡΩΪΜΟΠΟΥΛΟΥ ΤΟΥΡΦΑΝΤΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γρηγορίου,Ο.Α.Κ.Κ.Ε.,ΓΟΥΡΝΑΣ ΠΙΕΡΡΟΣ του Διονυσίου,Μ-Λ Κ.Κ.Ε.,ΑΡΓΥΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αργυρίου,Ελλήνων Συνέλευσις,ΜΑΥΡΟΥΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Συμεών,ΠΑΠΑΓΕΩΡΓΙΟΥ ΕΛΕΝΗ του Γεωργίου,ΠΡΙΦΤΗ ΕΥΓΕΝΙΑ του Ευάγγελου,ΡΕΝΤΟΥΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΣΟΛΕΡΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,Ένωση Κεντρώων,ΚΟΚΚΙΝΑΣ ΝΙΚΟΛΑΟΣ του Τιμόθεου,ΜΕΝΤΕΣΙΔΟΥ ΕΡΑΣΜΙΑ του Κυριάκου,ΠΑΠΑΘΕΟΥ ΑΛΕΞΑΝΔΡΑ του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΑΛΙΩΤΗΣ ΝΙΚΟΣ του Στυλιανού,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΘΑΝΑΣΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΑΡΕΤΑ ΛΗΤΩ του Αθανασίου,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΜΠΙΝΙΩΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΦΡΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΩΝΣΤΑΝΤΑ ΕΥΑΓΓΕΛΙΑ του Μηνά,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΑΝΝΙΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΚΑΝΙΑΡΗΣ ΑΝΤΩΝΙΟΣ του Στυλιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΚΟΚΤΣΗ ΕΛΕΝΗ του Νικολάου,ΔΗΜΗΤΡΙΑΔΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΚΡΙΕΚΟΥΚΗ ΑΝΑΣΤΑΣΙΑ του Θεοδώρου,ΝΤΟΥΡΟΣ ΝΙΚΟΛΑΟΣ του Σωτηρίου,ΤΑΝΤΟΥΡΗΣ ΣΤΥΛΙΑΝΟΣ του Ιωσήφ,Οικολόγοι Πράσινοι,ΠΑΠΑΔΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΕΑΝ...,ΠΑΪΤΕΡΗΣ ΒΑΣΙΛΕΙΟΣ του Αλέξανδρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΗΤΡΙΑΔΟΥ ΜΑΡΙΑ του Σάββα,ΚΑΡΑΓΙΑΝΝΟΠΟΥΛΟΣ ΝΕΚΤΑΡΙΟΣ του Παρασκευά,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΡΙΤΣΗ ΑΝΑΣΤΑΣΙΑ του Σάββα,ΦΟΥΦΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
64 - Β' Δυτικής Αττικής,108 E.T. Δήμου Μάνδρας - Ειδυλλίας,432,296,6,5,11,285,130,47,47,5,74,8,18,56,21,8,6,20,10,23,23,7,2,1,12,4,2,23,0,15,6,8,7,0,14,5,6,3,3,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,2,1,0,1,11,6,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,1,3,3,6,1,0,0,0,0,0,0,2,0,0,0,2,2,2,4,3,2
64 - Β' Δυτικής Αττικής,109 E.T. Δήμου Μάνδρας - Ειδυλλίας,470,299,3,1,4,295,124,47,36,6,74,6,19,58,20,6,4,9,8,26,20,5,2,1,7,1,3,18,2,7,2,2,4,2,17,4,4,7,2,1,2,10,6,2,2,3,1,5,2,4,1,1,1,0,1,0,0,7,6,0,1,0,0,0,4,2,0,0,2,2,0,0,2,14,4,5,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,1,0,1,0,0,2,1,1
64 - Β' Δυτικής Αττικής,110 E.T. Δήμου Μάνδρας - Ειδυλλίας,487,321,13,1,14,307,147,69,45,10,62,36,18,49,9,8,3,15,2,18,30,13,12,8,7,4,1,24,6,16,1,3,7,3,12,4,3,5,1,1,3,5,3,2,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,12,3,3,3,3,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,8,6
64 - Β' Δυτικής Αττικής,111 E.T. Δήμου Μάνδρας - Ειδυλλίας,480,331,9,1,10,321,156,50,24,11,83,28,54,46,8,13,6,13,14,13,17,2,9,1,2,1,6,24,8,13,1,2,2,7,16,8,4,5,0,0,5,11,4,5,1,3,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,4,0,0,3,0,1,1,2,11,3,0,3,2,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,5,1,3,0,2,0,0,0,0,1,1,3,2,0,3,1,0,1,1,0,0,1,1,1,13,8,4
64 - Β' Δυτικής Αττικής,112 E.T. Δήμου Μάνδρας - Ειδυλλίας,489,305,11,2,13,292,129,56,32,7,48,42,17,41,13,9,1,10,4,13,28,9,7,3,3,3,3,29,8,16,1,4,6,2,11,4,5,5,1,0,2,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,5,2,0,0,4,2,0,1,1,19,5,4,6,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,3,1,1,1,0,1,0,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,9,7,6
64 - Β' Δυτικής Αττικής,113 E.T. Δήμου Μάνδρας - Ειδυλλίας,484,353,7,3,10,343,182,76,54,17,93,38,32,35,12,4,5,9,9,12,26,6,11,5,8,3,3,26,7,16,3,0,0,4,16,6,6,7,0,1,4,10,7,1,1,2,4,5,3,2,3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,10,2,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,5,3,1,0,3,0,0,2,1,0,4,2,2,0,0,0,0,10,9,4
64 - Β' Δυτικής Αττικής,114 E.T. Δήμου Μάνδρας - Ειδυλλίας,482,332,8,1,9,323,148,72,49,7,57,29,27,49,11,12,7,11,9,20,29,10,10,4,13,13,0,29,5,8,5,3,8,3,20,7,10,7,1,1,1,10,1,3,2,5,3,1,0,1,0,3,2,1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,1,1,0,0,9,4,0,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,12,9,8
64 - Β' Δυτικής Αττικής,115 E.T. Δήμου Μάνδρας - Ειδυλλίας,486,344,7,4,11,333,145,55,39,7,65,34,15,58,20,14,4,12,16,16,38,8,21,10,12,3,5,16,4,9,0,2,7,3,12,9,6,3,2,0,1,5,1,1,0,2,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,7,3,0,0,4,1,0,1,0,10,4,0,2,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,0,0,3,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,3,3,1,1,1,19,12,10
64 - Β' Δυτικής Αττικής,116 E.T. Δήμου Μάνδρας - Ειδυλλίας,495,307,2,0,2,305,123,50,36,7,73,34,14,56,11,33,6,11,12,20,28,6,12,5,11,11,5,38,7,32,3,3,10,2,17,8,1,9,1,0,3,7,1,2,0,3,1,3,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3,3,0,0,2,1,1,0,0,9,4,1,2,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,0,5,2,1
64 - Β' Δυτικής Αττικής,117 E.T. Δήμου Μάνδρας - Ειδυλλίας,445,314,19,2,21,293,134,50,53,6,63,37,20,69,12,16,10,20,11,25,18,6,11,3,5,1,0,13,2,8,1,1,2,0,14,7,7,6,2,1,2,5,3,1,1,3,0,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,7,1,3,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,3,2,1,1,4,2,0,4,1,1,3,2,1,0,0,0,0,6,3,3
64 - Β' Δυτικής Αττικής,118 E.T. Δήμου Μάνδρας - Ειδυλλίας,481,335,11,1,12,323,152,63,47,4,73,44,33,47,19,6,4,11,9,20,29,10,9,1,13,3,4,27,5,15,5,0,9,2,15,11,5,5,3,0,2,9,3,4,1,4,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,9,3,0,1,5,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,6,4,1,2,0,1,0,0,3,3,1,1,0,0,0,0,0,0,4,3,0,0,1,0,1,9,8,5
64 - Β' Δυτικής Αττικής,119 E.T. Δήμου Μάνδρας - Ειδυλλίας,441,312,4,1,5,307,144,56,41,7,53,41,27,39,14,3,3,9,8,20,26,3,8,2,11,1,3,36,9,26,2,3,9,5,8,3,3,2,1,0,3,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,10,4,2,0,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,5,2,2,1,0,0,0,0,1,1,0,0,2,2,0,1,0,0,2,1,1,1,1,0,0,19,8,5
64 - Β' Δυτικής Αττικής,120 E.T. Δήμου Μάνδρας - Ειδυλλίας,479,336,11,3,14,322,175,70,44,15,83,60,30,51,9,11,11,12,8,25,25,10,12,3,7,1,1,22,4,18,0,1,9,3,15,2,5,7,7,1,4,4,3,0,1,2,1,1,1,0,1,1,0,0,0,0,0,3,1,2,0,0,0,0,4,2,0,0,0,0,0,0,0,10,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1
64 - Β' Δυτικής Αττικής,121 E.T. Δήμου Μάνδρας - Ειδυλλίας,482,324,8,4,12,312,129,52,39,11,54,38,23,45,14,7,10,11,9,21,24,5,9,5,10,3,3,20,7,9,5,4,3,1,27,14,7,10,1,3,9,11,3,4,1,3,1,5,1,3,3,0,0,0,0,0,0,5,3,2,0,1,1,1,10,5,0,0,3,3,2,0,0,7,3,1,1,3,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,1,5,4,2,3,0,0,4,2,1,2,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,2,3,2,0,0,0,6,3,3
64 - Β' Δυτικής Αττικής,122 E.T. Δήμου Μάνδρας - Ειδυλλίας,487,328,13,1,14,314,140,65,28,9,67,33,27,59,15,10,12,15,12,21,36,8,14,6,12,5,4,15,4,4,3,3,6,2,16,6,5,6,0,1,3,7,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,12,3,1,4,3,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,2,2,2,0,2,0,0,1,2,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,9,5,4
64 - Β' Δυτικής Αττικής,123 E.T. Δήμου Μάνδρας - Ειδυλλίας,482,329,4,2,6,323,161,59,41,10,69,53,38,49,15,11,6,18,5,13,32,8,18,9,11,5,1,14,2,7,1,0,3,0,14,6,1,4,1,0,1,4,2,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,20,6,4,5,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,3,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,0,0,3,0,0,0,1,1,1,11,6,4
64 - Β' Δυτικής Αττικής,124 E.T. Δήμου Μάνδρας - Ειδυλλίας,467,335,3,2,5,330,149,56,49,10,58,57,18,64,20,17,14,11,11,28,28,5,14,3,8,6,3,22,8,10,2,2,6,4,21,8,6,4,2,2,5,9,2,5,1,0,1,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,1,12,6,1,4,5,4,0,0,0,0,0,0,0,0,1,1,2,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,4,0,0,5,0,0,3,2,2
64 - Β' Δυτικής Αττικής,125 E.T. Δήμου Μάνδρας - Ειδυλλίας,480,321,1,1,2,319,126,56,37,12,46,38,13,52,13,9,11,14,8,27,46,6,31,5,17,3,3,18,8,8,3,5,3,5,21,12,7,3,2,0,1,6,4,1,0,3,1,1,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,4,4,0,0,0,0,0,0,0,16,8,3,8,4,5,0,0,0,0,1,0,0,0,0,0,7,1,0,1,7,0,2,1,1,0,1,1,4,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,1,0,0,0,6,3,3
64 - Β' Δυτικής Αττικής,126 E.T. Δήμου Μάνδρας - Ειδυλλίας,478,290,6,2,8,282,119,45,48,6,50,31,15,40,6,11,2,8,3,17,43,17,25,6,9,3,5,21,4,16,4,3,3,3,20,7,9,8,1,1,5,2,2,1,0,1,0,2,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,9,2,1,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,2,0,5,3,0,0,0,0,0,7,6,5
64 - Β' Δυτικής Αττικής,127 E.T. Δήμου Μάνδρας - Ειδυλλίας,494,313,10,3,13,300,139,59,53,5,57,29,30,47,14,3,6,13,6,20,29,6,16,1,10,0,5,26,7,16,5,3,3,2,18,8,5,4,1,0,3,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,8,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,1,1,0,2,0,1,0,1,0,0,0,3,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,10,10,8
64 - Β' Δυτικής Αττικής,128 E.T. Δήμου Μάνδρας - Ειδυλλίας,484,307,13,2,15,292,129,59,39,0,49,34,22,72,18,9,13,15,16,34,19,6,7,4,5,1,3,18,3,11,5,4,7,1,14,8,0,4,1,1,5,5,1,3,1,3,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,5,4,0,0,1,1,1,12,9,6
64 - Β' Δυτικής Αττικής,129 E.T. Δήμου Μάνδρας - Ειδυλλίας,457,307,4,4,8,299,146,75,33,10,69,33,18,46,9,7,9,15,13,18,41,9,28,6,12,4,2,20,3,14,2,0,4,3,9,2,1,6,0,1,0,6,1,3,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,3,2,0,0,3,1,2,1,2,10,1,1,2,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9,8,7
64 - Β' Δυτικής Αττικής,130 E.T. Δήμου Μάνδρας - Ειδυλλίας,504,343,13,2,15,328,140,68,38,8,60,30,20,56,17,13,4,13,10,18,37,8,18,2,11,4,9,29,4,13,3,3,5,5,20,8,6,7,2,2,7,2,0,2,0,0,1,3,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,7,3,0,0,1,1,0,0,1,6,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,1,1,0,0,4,2,2,2,1,3,0,0,2,2,2,0,1,0,0,1,0,0,2,2,1,1,2,2,2,5,4,4
64 - Β' Δυτικής Αττικής,131 E.T. Δήμου Μάνδρας - Ειδυλλίας,648,425,5,3,8,417,170,84,69,8,67,27,25,98,29,15,28,17,10,49,27,14,10,5,10,1,3,41,20,15,8,12,4,8,13,4,5,4,1,2,3,18,3,6,0,6,3,3,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,3,2,0,1,1,13,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,2,2,2,0,1,0,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,7,8
64 - Β' Δυτικής Αττικής,132 E.T. Δήμου Μεγαρέων,472,367,10,2,12,355,152,95,35,13,66,10,13,78,16,15,12,11,17,33,28,9,3,4,4,15,1,16,5,1,9,2,2,1,25,11,4,8,2,0,2,8,5,0,0,3,3,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,10,3,4,1,5,1,1,0,0,7,0,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,6,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,1,1,1,5,5,2
64 - Β' Δυτικής Αττικής,133 E.T. Δήμου Μεγαρέων,482,392,9,0,9,383,212,143,25,13,104,15,34,38,13,3,10,7,3,19,31,8,3,3,8,20,0,8,2,0,5,2,0,0,15,5,1,5,3,2,5,7,4,2,0,1,3,5,4,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,4,2,6,3,0,0,1,19,6,1,6,11,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,1,4,1,0,8,3,2,7,0,0,0,0,2,2,2,0,0,0,0,0,0,0,4,2,0,0,2,2,1,11,7,6
64 - Β' Δυτικής Αττικής,134 E.T. Δήμου Μεγαρέων,461,375,7,2,9,366,178,112,35,11,90,18,20,43,7,5,8,4,9,30,47,12,5,2,7,32,2,16,7,1,9,3,2,1,19,6,2,6,4,0,4,12,5,6,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,3,1,1,1,1,13,1,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,14,7,5
