ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΜΗΤΣΟΤΑΚΗΣ ΚΥΡΙΑΚΟΣ του Κωνσταντίνου,ΔΕΡΜΕΝΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Αλεξάνδρου,ΔΗΜΟΣΧΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Σπύρου,ΚΑΡΑΜΗΤΣΟΥ-ΓΙΑΝΝΕΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΚΕΛΕΤΣΗΣ ΣΤΑΥΡΟΣ του Δημητρίου,ΚΟΣΜΙΔΟΥ ΕΥΑΓΓΕΛΙΑ του Αποστόλου,ΣΥΡΙΖΑ,ΒΑΛΑΒΑΝΙΔΟΥ ΣΜΑΡΩ του Γεωργίου,ΓΚΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Γεωργίου,ΔΕΔΟΓΛΟΥ ΣΠΥΡΟΣ του Γεωργίου,ΜΑΛΤΕΖΟΣ ΜΕΝΕΛΑΟΣ του Φωτεινού,ΜΠΕΡΔΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Σταύρου,ΤΣΟΛΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΑΒΙΑΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΓΡΗΓΟΡΑΙΝΑΣ ΕΥΣΤΡΑΤΙΟΣ (ΣΤΡΑΤΟΣ) του Γεωργίου,ΜΟΥΛΑΤΖΙΔΟΥ ΔΡΟΣΙΑ του Ευαγγέλου,ΜΠΙΛΙΜΠΙΝΗ-ΒΡΑΔΕΛΗ ΕΥΤΕΡΠΗ (ΕΦΗ) του Ξανθίππου,ΠΑΝΑΓΟΥΤΣΟΣ ΣΤΥΛΙΑΝΟΣ (ΣΤΕΛΙΟΣ) του Αθανασίου,ΧΑΜΑΛΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Κ.Κ.Ε.,ΔΕΥΤΕΡΑΙΟΣ ΣΑΒΒΑΣ του Παναγή,ΔΙΝΔΙΝΗ ΒΑΪΑ (ΒΑΝΑ) του Νικολάου,ΚΟΥΓΙΟΥΜΤΖΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΜΑΡΑΓΚΟΖΑΚΗ ΣΩΤΗΡΙΑ του Γεωργίου,ΠΑΠΑΔΑΜΑΚΗΣ ΧΡΗΣΤΟΣ του Σταύρου,ΦΩΤΙΑΔΗΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Ορέστη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΙΑΝΝΑΡΑΚΟΥ ΕΥΑΓΓΕΛΙΑ του Αντωνίου,ΔΕΡΜΕΝΤΖΟΓΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΡΚΟΣ ΜΑΡΓΑΡΙΤΗΣ του Δημητρίου,ΠΑΠΑΔΑΚΗΣ ΠΑΡΑΣΧΟΣ του Χρήστου,ΣΑΧΙΝΙΔΟΥ ΛΥΓΕΡΗ του Γεωργίου,ΣΚΑΡΛΑΤΟΣ ΠΑΝΤΕΛΕΗΜΩΝ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΔΡΕΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΓΚΙΩΣΗ ΒΑΪΑ του Γεωργίου,ΚΑΛΛΙΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΤΣΙΑΚΙΡΗ ΕΥΑΓΓΕΛΙΑ του Μόσχου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΜΑΛΛΙΑΔΑ ΑΝΘΟΥΛΑ του Ευσταθίου,Ο.Κ.Δ.Ε.,ΓΚΙΩΡΓΚΑΣ ΔΗΜΗΤΡΙΟΣ του Σταύρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΗΛΙΑΚΗ ΑΓΑΠΗ του Πέτρου,ΚΑΡΠΟΥΖΕΛΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΠΟΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΟΛΙΤΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ (ΦΥΛΛΙΑ) του Αθανασίου,Κίνημα 21,ΚΕΦΑΛΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΑΚΕΑΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΜΠΙΝΤΑΚΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΜΠΟΥΣΜΠΟΥΚΕΑ ΜΑΡΙΑ του Γεωργίου,ΣΙΟΥΛΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΝΙΚΗ,ΚΑΡΑΚΑΤΣΙΑΝΗ ΕΙΡΗΝΗ του Δημητρίου,ΜΑΓΓΙΝΑΣ ΝΙΚΟΛΑΟΣ του Θεμιστοκλή,ΞΥΓΩΝΑΚΗΣ ΕΥΣΤΡΑΤΙΟΣ του Αθανασίου,ΣΤΑΦΥΛΙΔΟΥ ΑΠΟΣΤΟΛΙΑ του Μόσχου,κοινωνία αξιών,ΠΑΠΑΓΡΗΓΟΡΙΟΥ (ΜΑΓΚΟΥΡΑ) ΚΡΙΝΙΩ του Ευθυμίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΑΥΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Σωκράτη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΣΩΤΗΡΙΟΣ του Λαζάρου,ΦΡΑΓΚΟΥ ΑΝΤΩΝΙΑ του Νικολάου,Ο.Α.Κ.Κ.Ε.,ΣΤΕΦΟΠΟΥΛΟΥ ΑΡΓΥΡΩ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΚΑΛΑΝΤΖΗ ΑΛΕΞΙΑ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΛΕΞΑΝΔΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΗΛΙΑΔΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΚΑΠΟΥΣΟΥΖ ΓΕΩΡΓΙΟΣ του Λαζάρου,ΜΟΡΦΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΟΥΦΕΞΗ ΜΑΡΘΑ του Ιακώβου,Ένωση Κεντρώων,ΚΥΜΠΡΙΤΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΚΥΡΙΑΚΙΔΟΥ ΣΟΝΙΑ του Σέργιου,ΜΟΥΣΙΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΛΑΣΙΟΥ ΠΟΛΥΞΕΝΗ του Κυριάκου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΜΠΑΛΑΜΠΑΝΙΔΗΣ ΚΛΗΜΕΝΤΙΟΣ του Αλεξίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΛΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΕΒΑΣΤΟΥ ΜΕΡΟΠΗ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΡΚΑ ΜΑΡΓΑΡΙΤΑ του Στυλιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΙΩΑΝΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Ελευθερίου,ΕΑΝ...,ΚΛΕΙΣΙΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΑΡΑΜΠΑΤΖΗΣ ΘΕΟΦΑΝΗΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Ζήση
1 - Έβρου,38 E.T. Δήμου Αλεξανδρούπολης,551,297,7,3,10,287,102,0,32,21,5,43,16,90,7,16,3,52,19,8,21,4,4,7,6,2,3,10,5,3,0,6,1,0,20,2,5,8,9,1,2,10,2,3,1,2,3,0,0,0,0,0,0,1,0,0,0,0,6,1,4,1,0,0,0,6,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,3,2,0,0,2,1,2,2,2,0,1,1,1,0,2,1
1 - Έβρου,39 E.T. Δήμου Αλεξανδρούπολης,524,353,12,2,14,339,133,0,52,27,9,48,25,78,11,26,5,46,19,5,27,5,8,8,10,9,1,18,14,7,2,6,2,0,36,2,3,11,22,1,0,5,3,1,2,1,2,1,0,3,2,0,0,0,0,0,0,0,2,2,11,4,9,3,2,5,3,3,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,2,1,9,7
1 - Έβρου,40 E.T. Δήμου Αλεξανδρούπολης,550,354,9,4,13,341,132,0,49,26,7,58,15,85,11,21,4,48,22,17,30,8,7,4,11,5,4,24,16,10,1,3,2,1,29,2,9,11,12,2,2,4,0,3,1,2,1,1,1,0,0,0,0,1,0,0,0,0,5,3,3,1,0,0,1,9,4,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,2,2,1,1,1,1,1,0,2,1,1,0,1,0,4,2
1 - Έβρου,41 E.T. Δήμου Αλεξανδρούπολης,549,349,9,4,13,336,138,0,48,27,13,51,25,60,4,13,7,34,20,7,35,7,6,15,10,9,5,19,10,11,1,3,4,0,32,6,3,11,20,3,2,7,4,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,6,4,4,1,2,2,2,11,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,4,2,0,0,1,0,1,0,3,2,0,0,1,0,9,9
1 - Έβρου,42 E.T. Δήμου Αλεξανδρούπολης,587,387,15,3,18,369,151,0,59,31,11,56,24,76,4,17,1,46,17,12,34,11,4,12,11,6,3,18,9,8,3,3,3,0,41,1,9,7,28,5,3,6,1,1,2,3,0,0,0,1,1,0,0,2,0,0,1,0,3,2,4,1,2,2,2,16,7,9,1,5,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,2,3,2,0,0,1,1,0,0,0,0,2,0,1,0,5,4
1 - Έβρου,43 E.T. Δήμου Αλεξανδρούπολης,579,364,14,2,16,348,144,0,68,27,15,61,18,66,8,17,3,30,14,16,36,9,8,7,12,6,2,17,14,5,3,4,1,0,29,5,4,8,17,7,2,10,3,3,1,1,3,2,1,0,0,0,0,2,0,0,0,1,3,3,4,1,1,1,1,11,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,7,6,1,1,2,2,0,0,2,2,4,4,1,0,5,2
1 - Έβρου,44 E.T. Δήμου Αλεξανδρούπολης,594,333,13,3,16,317,96,0,38,14,7,33,17,98,6,12,3,44,44,8,29,8,3,6,8,7,4,14,9,4,1,5,2,0,33,8,11,8,7,3,5,6,1,2,0,1,1,2,2,0,0,1,0,1,0,0,0,0,4,3,3,0,0,0,0,6,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,1,0,0,4,3,4,2,1,1,1,1,2,0,4,2
1 - Έβρου,45 E.T. Δήμου Αλεξανδρούπολης,538,323,14,5,19,304,106,0,52,13,8,41,12,94,4,15,2,68,18,24,16,5,2,7,6,1,1,8,4,4,1,2,0,0,36,2,5,4,30,1,1,9,2,2,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1,1,6,2,1,1,1,7,1,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,1,0,0,0,8,7
1 - Έβρου,46 E.T. Δήμου Αλεξανδρούπολης,519,361,5,6,11,350,151,0,61,17,9,67,24,67,9,17,5,32,28,5,37,10,2,13,16,7,3,13,8,5,3,1,1,0,31,4,4,6,13,6,0,5,1,1,1,0,0,1,0,0,0,1,0,2,1,0,0,1,3,2,1,1,1,0,0,7,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,3,3,2,1,1,1,1,4,3,2,1,2,1,2,1,10,5
1 - Έβρου,47 E.T. Δήμου Αλεξανδρούπολης,529,314,10,2,12,302,121,0,60,18,8,49,15,79,12,16,7,46,24,15,30,5,5,8,13,2,3,9,8,0,2,4,2,0,28,0,5,6,21,3,2,5,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,6,2,4,0,1,9,7,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,7,6,0,0,2,1,0,0,0,0,0,0,0,0,3,3
1 - Έβρου,48 E.T. Δήμου Αλεξανδρούπολης,527,345,8,0,8,337,143,0,58,35,13,50,20,84,13,33,7,34,19,12,30,9,4,8,11,7,0,10,6,2,0,0,2,0,36,4,3,7,27,1,3,5,1,1,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,4,3,4,3,3,3,0,0,0,0,7,6
1 - Έβρου,49 E.T. Δήμου Αλεξανδρούπολης,540,352,7,2,9,343,133,0,48,18,4,54,17,64,7,18,7,35,19,6,33,6,4,10,14,9,4,22,14,7,2,3,1,0,35,5,8,5,20,6,1,9,3,2,1,1,5,3,3,0,0,0,0,0,0,0,0,0,5,3,5,0,0,2,2,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,1,1,2,1,3,2,4,3,1,1,4,4,5,2
1 - Έβρου,50 E.T. Δήμου Αλεξανδρούπολης,527,331,11,2,13,318,121,0,48,26,7,47,20,93,12,20,0,52,26,11,21,4,4,8,8,3,2,12,7,1,1,2,2,0,35,3,4,7,22,3,1,7,1,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,1,1,1,2,0,1,0,1,0,9,5
1 - Έβρου,51 E.T. Δήμου Αλεξανδρούπολης,528,297,8,1,9,288,98,0,40,12,3,45,6,92,2,20,9,50,27,8,15,3,3,6,7,0,3,11,5,3,1,2,1,0,39,1,4,9,22,8,0,7,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,12,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,1,0,1,1,2,0,1,0
1 - Έβρου,52 E.T. Δήμου Αλεξανδρούπολης,531,300,4,3,7,293,107,0,41,24,7,40,10,67,8,13,4,41,20,5,36,3,5,9,16,11,7,20,11,10,3,3,3,1,27,2,4,13,12,2,3,4,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,14,6,10,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,2,2,0,0,2,1,0,0,2,1,1,1,1,1,4,4
1 - Έβρου,53 E.T. Δήμου Αλεξανδρούπολης,533,346,8,3,11,335,133,0,41,30,7,58,22,83,5,24,4,42,27,4,27,7,7,3,6,6,7,14,10,2,2,2,0,0,41,7,5,7,30,1,4,5,0,2,1,1,1,2,1,0,0,1,0,0,0,0,0,0,3,2,2,0,0,1,1,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,0,0,1,1,6,4
1 - Έβρου,54 E.T. Δήμου Αλεξανδρούπολης,528,311,6,2,8,303,111,0,44,21,5,42,14,66,3,15,4,35,15,5,33,8,4,6,10,9,5,11,8,2,2,5,0,0,30,1,5,8,18,1,2,10,2,1,1,6,2,4,2,1,0,0,0,1,1,0,0,1,5,3,1,0,0,0,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,2,2,2,2,14,9
1 - Έβρου,55 E.T. Δήμου Αλεξανδρούπολης,530,341,11,3,14,327,147,0,59,33,9,65,19,63,8,13,4,23,28,12,20,2,2,6,5,5,3,25,19,5,4,6,4,0,32,2,2,8,26,3,1,6,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,1,0,3,1,1,1,1,9,2,7,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,4,0,0,0,0,2,2,2,0,2,2,1,1,2,2
1 - Έβρου,56 E.T. Δήμου Αλεξανδρούπολης,541,255,12,1,13,242,71,0,21,13,10,37,8,125,5,9,8,70,40,4,9,0,3,1,5,2,0,7,4,1,1,0,1,0,13,0,3,7,7,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,1,0
1 - Έβρου,57 E.T. Δήμου Αλεξανδρούπολης,489,287,8,1,9,278,121,0,43,44,10,51,12,68,6,15,3,36,19,9,22,0,3,9,8,2,3,9,6,1,0,3,3,2,22,3,6,2,15,3,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,4,0,0,6,1,5,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,0,0,0,0,2,2,0,0,2,1,1,0,0,0,7,5
1 - Έβρου,58 E.T. Δήμου Αλεξανδρούπολης,561,339,8,8,16,323,128,0,46,18,6,63,12,65,9,11,3,39,24,7,30,8,9,8,6,8,3,25,11,15,1,4,8,0,26,2,3,6,14,0,2,6,1,1,1,0,2,3,3,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,13,9,6,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,1,0,0,3,2,2,1,0,0,0,0,0,0,10,6
1 - Έβρου,59 E.T. Δήμου Αλεξανδρούπολης,519,285,13,1,14,271,99,0,40,11,8,41,15,86,14,18,6,33,30,12,24,7,2,8,4,7,9,19,11,10,1,3,5,0,20,5,6,5,8,1,0,9,3,5,4,1,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,4,4
1 - Έβρου,60 E.T. Δήμου Αλεξανδρούπολης,528,306,11,3,14,292,109,0,40,20,8,45,18,67,12,12,2,34,40,5,26,8,2,7,9,3,3,11,8,2,2,2,2,0,30,6,4,10,11,1,1,4,1,2,0,0,3,1,1,0,0,0,0,3,2,1,0,1,4,3,4,1,4,0,1,13,3,10,2,6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,2,2,1,1,4,3,2,2,0,0,0,0,6,5
1 - Έβρου,61 E.T. Δήμου Αλεξανδρούπολης,517,325,7,1,8,317,150,0,72,22,14,64,11,64,7,9,4,42,21,6,10,2,1,4,7,0,1,9,6,2,0,2,1,0,35,5,6,7,23,1,0,9,1,3,0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,2,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,2,5,0,0,0,1,0,0,0,1,1,0,0,3,1,3,2,3,2,11,5
1 - Έβρου,62 E.T. Δήμου Αλεξανδρούπολης,516,314,9,3,12,302,132,0,51,31,9,57,16,71,13,16,2,27,25,10,24,5,3,5,10,5,4,20,12,12,0,7,2,0,20,0,8,4,13,0,0,9,1,1,2,1,1,0,0,0,0,1,1,2,1,0,2,0,2,2,1,1,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,2,1,1,0,0,2,2,2,1,1,1,1,0,4,2
1 - Έβρου,63 E.T. Δήμου Αλεξανδρούπολης,553,383,12,5,17,366,144,0,62,22,5,48,19,67,3,12,2,35,17,9,40,9,4,11,13,6,5,23,13,4,1,3,1,0,38,8,12,9,18,0,3,6,2,1,1,2,2,4,4,0,0,1,0,0,0,0,0,0,2,2,5,1,2,1,1,11,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,5,4,0,0,1,0,1,0,5,1,1,0,0,0,9,6
1 - Έβρου,64 E.T. Δήμου Αλεξανδρούπολης,520,312,14,5,19,293,132,0,52,18,9,52,19,57,13,9,4,31,11,8,21,3,6,7,4,4,1,18,9,5,0,5,5,1,17,2,4,4,10,2,0,7,2,2,0,0,3,2,2,1,0,0,0,1,0,0,1,0,4,1,2,0,0,0,0,15,4,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,2,1,1,2,0,1,0,2,1,4,1
1 - Έβρου,65 E.T. Δήμου Αλεξανδρούπολης,551,288,7,3,10,278,81,0,35,15,5,27,14,70,7,18,3,38,20,9,30,8,4,14,9,1,1,15,13,3,5,1,1,2,39,6,10,21,12,4,3,6,3,1,2,3,1,2,2,0,0,1,1,0,0,0,0,0,1,0,3,2,1,1,1,12,5,6,0,4,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,1,4,4,1,1,0,0,1,0,2,2,1,0,0,0,0,0,1,1,0,0,5,3
1 - Έβρου,66 E.T. Δήμου Αλεξανδρούπολης,522,334,7,1,8,326,115,0,49,30,8,36,14,65,6,12,5,28,37,5,43,8,3,15,24,10,3,12,8,2,2,2,1,0,38,3,14,6,26,0,1,9,1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,7,6,1,1,0,1,0,13,4,6,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,1,4,1,0,0,1,1,0,0,0,0,7,6,1,0,6,4
1 - Έβρου,67 E.T. Δήμου Αλεξανδρούπολης,536,313,7,0,7,306,131,0,53,20,12,64,13,78,13,16,7,39,15,12,22,3,3,9,10,1,3,11,7,4,0,4,0,2,29,3,9,6,17,2,2,6,3,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,3,0,3,0,1,1,1,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,7,6
1 - Έβρου,68 E.T. Δήμου Αλεξανδρούπολης,525,282,8,1,9,273,108,0,56,22,4,41,8,65,7,18,4,38,9,6,20,6,5,5,8,3,2,9,4,1,0,2,1,0,28,7,8,8,14,5,2,6,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,3,1,5,2,2,1,0,13,6,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,1,1,1,1,0,0,2,1,0,0,7,3
1 - Έβρου,69 E.T. Δήμου Αλεξανδρούπολης,532,343,10,1,11,332,133,0,43,29,7,53,16,61,7,19,3,26,21,6,27,5,4,6,13,6,5,32,15,21,2,4,8,0,38,3,6,13,26,2,2,8,2,4,1,1,3,1,0,0,0,0,0,3,2,0,1,1,4,1,6,1,4,0,0,5,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,0,0,1,1,6,3
1 - Έβρου,70 E.T. Δήμου Αλεξανδρούπολης,534,303,16,4,20,283,107,0,36,22,7,58,13,59,5,19,4,28,19,7,35,8,5,8,12,9,4,11,5,5,1,4,1,1,33,2,4,9,22,4,1,5,0,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,5,2,1,1,1,0,0,8,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,3,0,0,0,1,1,2,2,1,1,5,4
1 - Έβρου,71 E.T. Δήμου Αλεξανδρούπολης,532,295,8,1,9,286,114,0,50,15,8,49,18,66,4,18,1,33,19,3,24,5,4,7,8,2,0,14,8,0,1,2,1,1,25,3,6,6,7,4,0,10,1,1,4,2,2,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,3,1,0,0,1,0,0,0,3,3,2,2,9,4
1 - Έβρου,72 E.T. Δήμου Αλεξανδρούπολης,525,272,9,1,10,262,103,0,43,26,9,42,14,59,4,9,6,44,19,6,30,7,9,7,8,3,2,11,8,5,1,2,1,2,25,2,5,2,17,4,1,5,1,2,1,0,1,1,1,0,0,0,0,3,2,0,0,0,4,0,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,3,0,0,0,1,1,3,1,0,0,0,0,1,1,6,6
1 - Έβρου,73 E.T. Δήμου Αλεξανδρούπολης,515,328,4,3,7,321,125,0,60,24,3,53,14,76,5,16,6,36,23,3,31,2,6,7,12,6,6,15,13,3,3,5,3,0,22,3,4,7,8,0,1,6,1,2,0,3,1,4,3,1,0,0,0,1,0,0,0,0,3,0,5,3,1,0,2,16,7,8,2,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,2,2,5,5
1 - Έβρου,74 E.T. Δήμου Αλεξανδρούπολης,535,278,13,2,15,263,106,0,47,21,11,34,9,57,2,19,1,23,16,4,32,3,4,12,10,3,4,11,7,1,0,2,1,1,26,2,2,5,13,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,7,3,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,0,10,6
