ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΚΑΝΙΑΤΣΑ ΑΙΜΙΛΙΑ του Παναγιώτη,ΚΑΡΑΓΚΟΥΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΑΣ) του Ανδρέα,ΛΙΒΑΝΟΣ ΣΠΥΡΙΔΩΝ-ΠΑΝΑΓΙΩΤΗΣ (ΣΠΗΛΙΟΣ) του Διονυσίου,ΠΑΠΑΘΑΝΑΣΗΣ ΑΘΑΝΑΣΙΟΣ του Δαμιανού,ΠΑΠΑΛΕΞΗ ΠΑΡΑΣΚΕΥΗ (ΕΥΗ) του Γρηγορίου,ΣΑΚΚΑΡΕΛΗ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΣΑΛΜΑΣ ΜΑΡΙΟΣ του Γεωργίου,ΣΤΑΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΦΟΥΝΤΖΟΥΛΑ ΧΡΙΣΤΙΝΑ του Παναγιώτη,ΣΥΡΙΖΑ,ΑΘΑΝΑΣΟΥΛΗ ΒΑΣΙΛΙΚΗ (ΣΙΣΣΥ) του Χρήστου,ΒΑΡΕΜΕΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΖΑΜΠΑΡΑΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Γεωργίου,ΘΕΟΔΩΡΑΚΗΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΚΑΡΑΓΚΟΥΝΗΣ ΣΤΑΥΡΟΣ του Αθανασίου,ΜΙΧΑΛΑΤΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΜΩΡΑΪΤΗΣ ΑΘΑΝΑΣΙΟΣ (ΘΑΝΟΣ) του Χρήστου,ΠΑΝΤΙΩΡΑ ΦΩΤΕΙΝΗ του Ευαγγέλου,ΤΣΙΜΠΛΗ ΕΙΡΗΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Χρήστου,ΚΑΤΣΑΡΗ ΚΩΝΣΤΑΝΤΟΥΛΑ (ΝΤΙΝΑ) του Θωμά,ΚΥΡΙΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΜΟΥΡΤΖΙΑΠΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,ΜΠΙΣΜΠΙΚΗ - ΚΟΝΙΔΑ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΠΙΣΤΙΟΛΗ ΠΕΡΣΕΦΩΝΗ του Γεωργίου,ΣΤΑΡΑΚΑ ΧΡΙΣΤΙΝΑ του Δημήτριου,ΤΡΥΦΙΑΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημοσθένη,Κ.Κ.Ε.,ΑΡΑΒΑΝΗΣ ΓΕΡΑΣΙΜΟΣ του Ανδρέα,ΚΑΖΑΡΙΔΗ - ΠΑΤΟΥΛΑ ΣΟΦΙΑ του Σωκράτη,ΚΟΤΟΠΟΥΛΗΣ ΣΠΥΡΙΔΩΝ του Ιωάννη,ΚΟΥΤΡΟΥΜΠΑ ΑΘΗΝΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Φωτίου,ΜΠΟΥΡΑ ΧΡΥΣΟΥΛΑ (ΣΟΥΛΑ) του Ευαγγέλου,ΝΙΚΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΠΑΠΑΝΑΣΤΑΣΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΣΙΕΤΤΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΪΔΙΝΗΣ ΖΑΦΕΙΡΗΣ του Ιωάννη,ΓΛΥΚΟΥ ΕΥΓΕΝΙΑ του Ιωάννη,ΚΑΡΑΚΑΤΣΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΚΑΡΑΚΟΥΣΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΟΥΡΚΟΥ ΑΡΧΟΝΤΙΑ του Ιωάννη,ΣΑΛΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Σπυρίδωνος,ΣΟΥΛΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΤΑΡΚΑΖΙΚΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΛΑ- ΛΙΑΚΑΤΑ ΓΕΩΡΓΙΑ του Αυγουστή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΖΥΓΑ ΕΛΙΑΝΑ του Κωνσταντίνου,ΚΑΡΑΝΗ ΙΩΑΝΝΑ του Σεραφείμ,ΛΟΥΚΑΝΑΡΗΣ ΣΤΕΦΑΝΟΣ του Αθανασίου,ΜΙΖΑΛΟΣ ΒΛΑΣΙΟΣ (ΒΛΑΣΗΣ) του Γεωργίου,ΝΟΥΛΑ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Γεωργίου,ΠΑΛΗΓΕΩΡΓΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΡΑΝΤΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΖΑΘΑΣ ΘΩΜΑΣ του Παύλου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΠΩΝΗ ΠΑΝΑΓΙΩΤΑ του Σωτηρίου,ΚΟΥΚΟΥΡΗΣ ΕΥΣΤΡΑΤΙΟΣ του Αντωνίου,ΛΑΔΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Αλέξιου,ΛΙΟΤΣΟΥ ΒΑΡΒΑΡΑ του Παναγιώτη,ΜΑΜΑΣΟΥΛΑΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΚΑΠΕΤΑΝΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΚΑΤΣΕΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΦΑΡΑΚΗ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,Ο.Κ.Δ.Ε.,ΠΑΠΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΖΩΤΗΣ ΝΙΚΟΛΑΟΣ του Θωμά,ΒΑΣΙΛΕΙΟΥ ΣΠΥΡΙΔΩΝ του Γρηγορίου,ΒΡΑΧΑ ΜΑΡΙΑ του Βασιλείου,ΕΥΘΥΜΙΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΚΟΚΚΙΝΟΒΑΣΙΛΗΣ ΠΟΛΥΔΕΥΚΗΣ του Δημητρίου,ΜΠΑΘΑ ΛΕΜΟΝΙΑ του Αθανασίου,ΤΣΩΛΗ ΕΛΕΝΗ ΑΝΝΑ του Νικολάου,Κίνημα 21,ΠΑΠΑΧΡΙΣΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Άγγελου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΠΑΛΑΙΟΔΗΜΟΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΝΙΚΗ,ΑΛΕΞΑΚΗ ΒΑΣΙΛΙΚΗ του Ιωάννου,ΚΑΜΖΕΛΑΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΑΛΕΣΙΑΔΑΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,κοινωνία αξιών,ΠΙΣΤΙΩΛΗ ΠΑΝΑΓΙΩΤΑ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΑΤΣΑΟΥΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΕΤΑΡΟΥΔΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΠΑΤΡΟΥΛΑ του Ευάγγελου,Ο.Α.Κ.Κ.Ε.,ΠΕΤΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Αλεξάνδρου,Μ-Λ Κ.Κ.Ε.,ΖΑΡΑΒΙΝΑΣ ΣΩΚΡΑΤΗΣ του Μιχαήλ,Ελλήνων Συνέλευσις,ΓΙΑΝΝΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΓΡΟΜΗΤΣΑΡΗ ΛΑΜΠΡΙΝΗ του Νικολάου,ΚΑΤΣΟΥΔΑ ΕΥΣΤΑΘΙΑ του Παντελή,ΜΠΙΤΣΙΚΩΚΟΣ ΒΛΑΣΙΟΣ του Δημητρίου,ΣΑΠΑΤΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΣΑΠΑΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΣΑΡΑΚΗΣ ΑΓΓΕΛΟΣ του Σπυρίδων,ΦΟΡΑΔΟΥΛΑ ΙΩΑΝΝΑ του Γεωργίου,Ένωση Κεντρώων,ΜΠΕΜΠΕΛΑ ΒΑΡΒΑΡΑ του Στυλιανού,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΣΚΑΝΔΑΛΟΣ ΓΡΗΓΟΡΙΟΣ του Σωτηρίου,ΤΗΛΕΜΑΧΟΥ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΓΕΛΟΠΟΥΛΟΣ ΟΔΥΣΣΕΥΣ του Ηλία,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΛΕΞΑΝΔΡΑΚΗ ΕΙΡΗΝΗ του Αθανασίου,ΒΑΣΣΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΡΑΜΠΕΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαραλάμπους,ΜΠΟΥΤΡΗ ΑΘΗΝΑ του Γεωργίου,ΠΑΠΑΚΩΣΤΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΛΑΜΠΑΛΙΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΦΙΛΙΠΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΠΟΔΙΣΤΡΙΑΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΟΥΣΙΑ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΣΕΡΑΦΗΣ ΑΠΟΣΤΟΛΟΣ του Ευάγγελου,ΤΡΑΣΙΑ ΑΛΕΞΑΝΔΡΑ του Βασιλείου,Οικολόγοι Πράσινοι,ΚΑΠΡΕΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΠΡΕΖΑΣ ΠΑΝΤΕΛΗΣ του Αθανασίου,ΤΣΙΡΙΓΚΑ ΓΡΗΓΟΡΙΑ του Αθανασίου,ΕΑΝ...,ΠΕΡΔΙΚΑΡΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΕΡΜΙΤΖΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Μιχαήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΚΑΝΔΑΛΟΥ ΕΛΕΝΗ του Σωτηρίου
30 - Αιτωλοακαρνανίας,118 E.T. Δήμου Αγρινίου,489,326,8,1,9,317,98,0,25,33,23,1,1,32,15,5,82,2,35,14,24,17,3,18,7,1,45,2,12,0,15,1,1,1,25,2,43,7,0,25,30,1,0,4,4,0,4,0,2,1,0,0,1,0,0,0,2,0,1,1,0,1,0,1,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,13,2,7,4,1,1,2,2,0,0,2,0,0,1,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,2,0,2,0,1,1,0,0,3,1
30 - Αιτωλοακαρνανίας,119 E.T. Δήμου Αγρινίου,504,320,2,0,2,318,95,1,34,50,13,4,3,25,12,0,80,2,42,23,21,8,4,20,5,4,38,0,18,0,9,0,0,3,21,4,66,11,1,35,47,1,5,5,4,1,6,2,3,0,0,1,0,1,0,0,4,0,1,0,0,1,1,0,0,3,1,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,1,1,0,1,1,1,0,0,6,4
30 - Αιτωλοακαρνανίας,120 E.T. Δήμου Αγρινίου,486,311,4,1,5,306,97,3,35,41,17,2,2,33,10,6,102,9,49,23,20,9,4,16,12,10,13,2,4,0,4,0,1,1,4,2,35,6,1,13,25,0,1,5,4,1,15,2,3,1,1,2,2,1,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,2,12,4,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,6,0,0,0,0,0,0,1,1,1,0,3,3,0,0,6,2
30 - Αιτωλοακαρνανίας,121 E.T. Δήμου Αγρινίου,476,310,3,1,4,306,103,3,31,37,21,5,2,36,12,1,98,1,49,34,27,11,5,22,9,2,27,1,7,0,6,0,0,0,12,4,33,6,1,15,19,0,1,2,3,0,11,6,3,2,0,2,2,1,0,0,4,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,9,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,1,1,0,3,3,1,0,0,0,0,0,3,1
30 - Αιτωλοακαρνανίας,122 E.T. Δήμου Αγρινίου,478,294,3,0,3,291,87,4,30,25,24,2,1,36,13,3,87,5,31,46,20,12,3,18,6,4,31,1,15,0,5,2,0,4,21,1,40,7,0,23,34,0,0,2,1,2,6,1,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,3,2,0,1,0,0,1,1,0,0,6,4,10,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,3,3,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,5,1
30 - Αιτωλοακαρνανίας,123 E.T. Δήμου Αγρινίου,458,299,5,0,5,294,111,2,47,22,31,3,1,42,14,6,84,3,34,40,16,11,0,22,33,2,43,1,12,0,19,1,0,2,20,2,15,1,1,5,9,1,0,4,0,0,11,1,2,2,1,2,0,2,2,2,7,2,1,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,1,1,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,3
30 - Αιτωλοακαρνανίας,124 E.T. Δήμου Αγρινίου,482,302,5,2,7,295,98,3,32,26,34,2,3,39,13,13,88,8,24,30,16,8,0,14,6,7,44,3,11,1,11,5,1,2,21,3,17,3,2,8,8,1,1,1,1,0,11,2,2,0,1,2,1,2,0,2,4,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,3,3,2,2,12,4,4,7,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,2,1
30 - Αιτωλοακαρνανίας,125 E.T. Δήμου Αγρινίου,482,280,3,2,5,275,78,3,26,23,26,1,6,32,9,8,70,9,24,32,17,23,1,15,2,5,42,6,9,0,13,0,0,4,30,2,9,2,0,0,6,0,1,1,0,1,5,1,1,0,0,2,1,1,0,1,2,2,2,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,41,41,8,1,2,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,2,1
30 - Αιτωλοακαρνανίας,126 E.T. Δήμου Αγρινίου,476,310,3,0,3,307,99,6,41,37,25,2,3,35,7,8,94,15,24,35,24,18,1,17,7,8,42,1,7,0,23,0,1,2,29,1,19,6,0,6,15,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,12,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,3,3,0,0,0,0,0,0,2,1
30 - Αιτωλοακαρνανίας,127 E.T. Δήμου Αγρινίου,485,290,4,2,6,284,100,1,32,36,26,3,2,57,9,5,75,12,23,17,20,16,1,13,7,8,30,0,2,2,15,0,2,3,12,1,24,5,0,4,19,1,1,2,0,1,2,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,1,26,25,9,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30 - Αιτωλοακαρνανίας,128 E.T. Δήμου Αγρινίου,496,324,4,3,7,317,85,2,33,20,32,5,1,40,14,2,98,12,35,47,17,12,3,26,8,5,25,1,8,0,9,0,6,0,10,0,17,3,0,5,10,1,0,2,3,0,2,0,0,0,0,0,1,1,0,0,4,2,1,0,0,2,0,1,2,5,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,45,45,15,4,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,8
30 - Αιτωλοακαρνανίας,129 E.T. Δήμου Αγρινίου,486,280,5,1,6,274,77,2,15,34,24,7,1,28,7,5,67,5,19,19,22,20,0,21,0,3,41,0,14,0,16,0,2,2,18,18,9,2,0,1,6,0,2,2,0,0,10,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,44,8,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,0,0,0,5,5,0,0,2,1,0,0,2,2,0,2,0,0,0,0,2,2
30 - Αιτωλοακαρνανίας,130 E.T. Δήμου Αγρινίου,497,328,3,3,6,322,114,4,43,32,35,4,1,36,13,8,65,7,23,23,16,6,1,20,2,4,38,1,1,1,22,0,1,1,15,0,16,0,0,7,13,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,7,1,1,1,1,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3,38,38,17,11,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,3,1,0,1,1,0,0,6,4
30 - Αιτωλοακαρνανίας,131 E.T. Δήμου Αγρινίου,454,255,2,1,3,252,73,2,25,18,31,4,1,33,10,5,65,18,21,22,14,11,0,20,4,2,27,2,6,1,9,2,1,1,16,2,14,3,2,3,8,0,2,2,3,0,6,0,0,1,0,0,4,2,0,1,8,3,1,1,1,1,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,35,34,14,6,8,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1
30 - Αιτωλοακαρνανίας,132 E.T. Δήμου Αγρινίου,39,25,0,1,1,24,7,0,5,0,3,0,1,1,0,1,7,0,3,1,1,3,1,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30 - Αιτωλοακαρνανίας,133 E.T. Δήμου Αγρινίου,492,303,3,2,5,298,128,2,37,30,36,9,4,50,34,13,59,3,15,20,17,14,3,20,2,3,51,0,9,0,27,0,0,0,30,0,32,0,0,18,3,1,3,1,3,14,2,0,0,0,0,0,0,0,0,0,6,1,2,0,1,0,1,0,0,10,2,5,0,0,7,0,0,0,0,0,0,6,6,0,1,0,3,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
30 - Αιτωλοακαρνανίας,134 E.T. Δήμου Αγρινίου,492,284,3,0,3,281,139,7,35,47,32,2,1,69,33,6,54,5,10,26,18,17,0,15,2,1,27,0,5,1,21,1,1,0,17,4,26,0,0,11,2,3,2,0,7,1,8,3,1,3,2,0,2,0,0,1,4,3,1,2,0,0,1,0,0,4,0,2,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,3,4,2,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2
30 - Αιτωλοακαρνανίας,135 E.T. Δήμου Αγρινίου,486,282,5,1,6,276,135,8,40,38,35,4,5,67,29,15,66,4,14,30,27,16,0,16,3,4,27,1,8,1,13,0,1,0,13,1,14,1,0,8,0,1,1,3,4,3,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,0,1,0,3,3
30 - Αιτωλοακαρνανίας,136 E.T. Δήμου Αγρινίου,421,235,5,0,5,230,97,1,24,36,21,3,3,64,13,14,57,4,16,16,16,7,3,23,5,5,30,0,4,1,16,0,1,1,15,4,24,4,3,14,4,1,2,7,1,2,5,0,0,0,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
30 - Αιτωλοακαρνανίας,137 E.T. Δήμου Αγρινίου,420,244,10,2,12,232,102,1,17,38,25,1,1,65,15,12,58,2,16,18,13,3,3,22,6,6,25,1,3,2,12,0,2,1,13,1,17,0,2,9,1,1,2,2,3,3,8,0,1,0,4,1,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,3,3
30 - Αιτωλοακαρνανίας,138 E.T. Δήμου Αγρινίου,184,92,1,0,1,91,43,0,18,14,17,1,1,22,2,3,13,1,2,12,4,0,0,5,0,1,14,1,4,0,11,0,0,0,2,6,2,1,0,0,0,0,1,0,0,0,16,0,0,0,15,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30 - Αιτωλοακαρνανίας,139 E.T. Δήμου Αγρινίου,378,214,1,0,1,213,109,6,27,32,35,3,3,60,6,15,40,4,13,17,6,9,2,7,3,2,29,1,8,2,14,0,1,2,14,1,5,0,0,1,1,0,0,1,1,0,4,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,7,4,4,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,3,2,1,0,4,3
