ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΔΡΙΑΝΟΣ ΙΩΑΝΝΗΣ του Σωτηρίου,ΔΩΡΟΒΙΝΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΜΠΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΤΑΝΤΑΡΟΥ-ΚΡΙΓΓΟΥ ΘΕΟΔΟΣΙΑ (ΣΟΝΙΑ) του Δημητρίου,ΣΥΡΙΖΑ,ΓΑΒΡΗΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ (ΣΠΗΛΙΑ) του Χαράλαμπου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Γεωργίου,ΣΚΟΥΡΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,ΣΤΕΡΓΙΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΕΥΑΓΓΕΛΙΝΟΥ ΣΤΑΥΡΟΥΛΑ - ΕΛΕΝΗ του Αργυρίου,ΖΑΧΑΡΙΟΥΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΠΟΥΛΑΣ ΑΝΔΡΕΑΣ του Θεοδοσίου,ΧΕΙΒΙΔΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΣΟΣ) του Παναγιώτη,ΨΥΧΟΓΥΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Κ.Κ.Ε.,ΓΚΟΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΚΟΥΒΙΣΗ ΣΤΑΥΡΟΥΛΑ (ΒΟΥΛΑ) του Ιωάννη,ΚΟΛΙΖΕΡΑΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΡΟΚΟΣ ΜΙΧΑΗΛ του Φωτίου,ΧΑΤΖΗΑΝΑΣΤΑΣΙΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΥΜΝΙΑΤΗΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΜΑΛΛΙΑΡΑ ΑΝΔΡΙΑΝΑ- ΧΡΙΣΤΙΝΑ του Φωτίου,ΠΛΕΥΡΙΤΗ ΓΕΩΡΓΙΑ του Ιωάννη,ΠΟΪΚΛΗΣ ΔΗΜΗΤΡΙΟΣ του Ευάγγελου,ΣΑΛΑΠΑΤΑΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΕΩΡΓΙΟΠΟΥΛΟΥ ΙΟΥΛΙΑ (ΗΛΙΑΝΑ) του Δημητρίου,ΔΑΓΡΕΣ ΞΕΝΟΦΩΝ (ΦΩΝΤΑΣ) του Δημητρίου,ΔΡΟΥΓΚΑΣ ΔΗΜΟΣΘΕΝΗΣ του Κωνσταντίνου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Διαμαντή,ΣΤΟΓΙΑΝΟΒΙΤΣ ΣΝΕΖΑΝΑ (ΝΕΝΑ) του Ζίβοραντ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΕΛΕΝΗ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΑΧΕΙΡΙΔΗΣ ΗΛΙΑΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΝΤΙΝΟΠΟΥΛΟΥ ΣΤΑΜΑΤΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΕΡΔΕ ΕΛΕΝΗ του Παναγιώτη,ΜΠΟΥΓΙΟΥΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Συμεών,ΝΕΖΟΥ ΓΑΡΥΦΑΛΙΑ του Δημητρίου,ΤΟΥΜΠΑΝΟΣ ΠΕΤΡΟΣ του Θεοδώρου,Κίνημα 21,ΜΟΝΑΣΤΗΡΙΩΤΗΣ ΣΤΥΛΙΑΝΟΣ του Αλέξανδρου,ΧΡΥΣΟΣΤΑΛΗ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΚΑΠΛΑΝΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΚΙΚΟΣ ΘΕΟΔΟΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΝΙΚΗ,ΖΑΧΟΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΚΑΡΑΧΑΛΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΚΩΤΣΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παύλου,κοινωνία αξιών,ΠΕΤΣΙΩΤΗ ΕΥΔΟΚΙΑ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΚΑΝΑ ΠΑΝΑΓΙΩΤΑ του Ευστάθιου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΙΛΕΙΑΔΗΣ ΠΕΤΡΟΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΣΑΛΑΠΑΤΑΣ ΛΕΩΝΙΔΑΣ του Ανδρέα,Ελλήνων Συνέλευσις,ΓΙΑΝΝΑΚΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Μιχαήλ,ΔΑΓΡΕΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΚΑΚΟΥ ΑΝΝΑ του Γεράσιμου,ΚΑΡΑΜΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αναστάσιου,ΤΖΑΝΟΣ ΑΛΚΙΒΙΑΔΗΣ του Βασιλείου,Ένωση Κεντρώων,ΚΑΡΑΚΩΣΤΗΣ ΜΕΡΚΟΥΡΙΟΣ του Στέργιου,ΚΟΥΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΣΤΑΘΗ ΓΡΗΓΟΡΙΑ του Χαράλαμπου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΡΓΑΔΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΙΩΑΝΝΟΥ ΕΥΣΤΑΘΙΟΣ του Ιωάννη,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Παύλου,ΣΠΑΡΟΥ ΓΑΡΥΦΑΛΛΙΑ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΟΡΔΑΛΗ ΜΑΡΙΑ του Κυριάκου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΤΑΪΚΟΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΦΑΚΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΕΑΝ...,ΤΣΕΝΤΟΥΡΟΥ ΑΙΜΙΛΙΑ του Αθανασίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΙΑΚΗ ΜΑΡΙΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Περικλή
44 - Αργολίδος,64 E.T. Δήμου Άργους - Μυκηνών,459,332,3,1,4,328,147,54,5,6,32,40,45,16,3,17,3,0,57,3,0,20,5,26,11,1,1,0,2,1,8,3,1,1,0,0,8,2,4,0,0,0,2,2,1,0,0,0,5,0,0,5,0,2,0,0,3,0,0,1,13,4,6,1,1,0,0,0,0,0,1,0,5,2,3,0,0,0,2,0,1,1,2,0,1,0,0,0,3,3,1,1,2,2,3,1,1,1,4,3
44 - Αργολίδος,65 E.T. Δήμου Άργους - Μυκηνών,305,185,2,0,2,183,62,24,5,5,6,19,34,5,5,12,2,1,55,0,0,28,5,21,0,0,0,0,0,0,15,7,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1
44 - Αργολίδος,66 E.T. Δήμου Άργους - Μυκηνών,297,147,0,0,0,147,51,20,9,5,10,4,9,2,0,6,0,0,46,0,0,18,7,21,3,0,0,0,0,0,17,7,1,0,0,5,8,1,3,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44 - Αργολίδος,67 E.T. Δήμου Άργους - Μυκηνών,433,267,3,1,4,263,139,53,6,5,34,32,27,7,1,15,0,1,67,0,0,20,5,41,3,2,0,0,0,0,6,2,0,0,0,1,3,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,3
44 - Αργολίδος,68 E.T. Δήμου Άργους - Μυκηνών,85,38,0,0,0,38,15,7,0,1,1,6,5,1,0,2,1,0,12,3,4,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
44 - Αργολίδος,69 E.T. Δήμου Άργους - Μυκηνών,456,325,2,1,3,322,130,13,6,2,20,82,46,17,4,16,1,0,86,2,1,44,11,20,22,0,1,1,19,1,9,3,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,1,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,1,1,1,0,0,2,0,0,0,0,0,8,6
44 - Αργολίδος,70 E.T. Δήμου Άργους - Μυκηνών,488,323,3,0,3,320,150,23,17,4,18,76,48,29,1,12,0,2,59,0,1,25,9,16,28,1,1,0,24,1,7,0,0,0,0,4,3,0,1,0,1,0,3,2,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,5,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,1,1,0,0,2,1,0,0,0,0,6,3
44 - Αργολίδος,71 E.T. Δήμου Άργους - Μυκηνών,94,68,2,1,3,65,37,8,3,0,1,24,12,6,0,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,1,0
44 - Αργολίδος,72 E.T. Δήμου Άργους - Μυκηνών,571,364,11,3,14,350,166,29,10,11,18,91,69,22,7,23,3,3,53,1,0,25,6,13,16,3,2,0,8,2,6,1,1,0,0,4,3,0,0,0,2,0,2,2,0,0,0,0,2,1,0,0,0,2,1,1,4,0,1,0,10,2,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,5,1,0,0,0,6,5
44 - Αργολίδος,73 E.T. Δήμου Άργους - Μυκηνών,159,130,1,0,1,129,85,15,4,1,17,46,10,2,1,5,0,0,6,0,0,5,1,0,5,0,0,0,3,1,5,1,2,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0
44 - Αργολίδος,74 E.T. Δήμου Άργους - Μυκηνών,401,277,0,2,2,275,167,31,9,4,14,97,25,4,1,15,0,1,39,0,0,24,3,9,4,0,0,0,1,0,11,2,0,1,0,2,2,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,0,8,5
44 - Αργολίδος,75 E.T. Δήμου Άργους - Μυκηνών,400,282,1,1,2,280,124,17,3,3,32,61,61,14,4,33,1,1,64,1,0,37,2,23,6,2,1,0,1,0,6,1,0,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,1,1,0,1,0,1,0,2,0,1,1
44 - Αργολίδος,76 E.T. Δήμου Άργους - Μυκηνών,529,255,4,3,7,248,117,29,6,18,14,35,38,14,1,9,5,2,49,1,1,17,1,23,7,0,0,2,0,2,18,0,1,0,0,16,4,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,3,2
44 - Αργολίδος,77 E.T. Δήμου Άργους - Μυκηνών,47,34,0,0,0,34,25,12,1,1,7,0,2,2,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,78 E.T. Δήμου Άργους - Μυκηνών,294,184,1,0,1,183,87,14,7,8,20,30,20,3,4,7,0,1,54,0,0,7,1,45,3,1,0,0,0,1,6,1,0,0,0,5,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1
44 - Αργολίδος,79 E.T. Δήμου Άργους - Μυκηνών,493,252,3,1,4,248,73,13,4,5,31,13,61,15,3,24,3,0,69,3,1,33,26,3,24,9,5,7,1,2,4,0,1,1,0,1,6,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
44 - Αργολίδος,80 E.T. Δήμου Άργους - Μυκηνών,366,224,2,0,2,222,113,37,10,3,31,28,40,15,3,15,2,1,37,1,0,17,3,15,6,0,2,4,0,0,5,2,1,0,0,1,3,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,1,1,4,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,4,3
44 - Αργολίδος,81 E.T. Δήμου Άργους - Μυκηνών,261,145,2,0,2,143,78,17,4,6,30,19,24,15,2,6,0,0,23,0,1,10,3,8,2,1,0,0,0,0,5,4,0,0,0,0,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
44 - Αργολίδος,82 E.T. Δήμου Άργους - Μυκηνών,276,118,1,0,1,117,58,27,0,0,9,16,19,1,3,6,1,0,24,0,0,1,3,16,4,0,0,2,0,0,3,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
44 - Αργολίδος,83 E.T. Δήμου Άργους - Μυκηνών,175,96,0,1,1,95,52,31,2,1,4,13,14,6,0,5,0,1,14,1,0,1,2,8,2,0,0,1,0,1,6,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
44 - Αργολίδος,84 E.T. Δήμου Άργους - Μυκηνών,498,273,0,2,2,271,133,34,3,23,40,20,32,17,4,6,1,0,51,0,0,19,5,27,17,2,2,5,0,2,3,1,0,0,0,1,8,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,3,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,4,2,2,1,1,0,0,0,7,6
44 - Αργολίδος,85 E.T. Δήμου Άργους - Μυκηνών,184,60,1,0,1,59,38,22,1,0,2,11,8,7,1,0,0,0,7,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44 - Αργολίδος,86 E.T. Δήμου Άργους - Μυκηνών,165,129,1,4,5,124,65,22,0,2,17,15,18,3,0,7,1,1,16,0,1,6,2,7,1,1,0,0,0,0,6,1,0,0,0,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,5,3
44 - Αργολίδος,87 E.T. Δήμου Άργους - Μυκηνών,287,139,2,1,3,136,65,18,7,2,17,21,24,8,2,11,0,1,29,1,0,22,0,5,4,3,0,0,0,1,3,0,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2
44 - Αργολίδος,88 E.T. Δήμου Άργους - Μυκηνών,463,246,9,1,10,236,100,33,15,19,9,19,51,2,1,42,0,0,27,1,0,14,8,2,28,2,4,14,1,0,6,1,0,1,0,3,3,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,4,2,0,2,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1
44 - Αργολίδος,89 E.T. Δήμου Άργους - Μυκηνών,481,235,1,2,3,232,108,35,11,23,20,17,48,2,1,39,2,1,23,0,0,13,3,3,19,2,1,6,2,0,8,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,2,0,4,1,0,1,7,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
44 - Αργολίδος,90 E.T. Δήμου Άργους - Μυκηνών,308,228,5,3,8,220,109,42,10,8,20,18,18,3,2,3,4,1,56,1,0,35,7,8,10,2,0,2,0,2,3,1,0,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,2,1,0,0,0,0,0,0,4,1
44 - Αργολίδος,91 E.T. Δήμου Άργους - Μυκηνών,248,179,3,0,3,176,101,52,1,3,20,19,17,7,0,4,1,0,35,0,1,14,0,20,4,1,0,1,0,1,2,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,4,0
44 - Αργολίδος,92 E.T. Δήμου Άργους - Μυκηνών,409,252,2,0,2,250,99,26,10,11,16,27,39,13,2,12,1,2,53,1,1,20,3,27,22,0,0,20,2,0,12,0,1,2,0,7,6,0,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,4,2
44 - Αργολίδος,93 E.T. Δήμου Άργους - Μυκηνών,477,339,2,0,2,337,123,16,16,25,26,29,53,6,3,8,13,12,85,1,0,41,6,30,10,0,4,2,1,1,9,2,1,0,0,2,15,1,3,7,0,0,1,0,1,1,0,0,5,2,0,0,1,2,1,1,6,4,0,0,9,2,3,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,3,3,0,2,1,1,1,2,1,0,0,0,0,0,0,6,4
44 - Αργολίδος,94 E.T. Δήμου Άργους - Μυκηνών,483,271,2,0,2,269,93,31,9,7,16,20,62,5,6,40,2,2,61,1,0,22,6,27,14,6,1,0,0,2,4,1,1,0,0,0,14,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,8,4
44 - Αργολίδος,95 E.T. Δήμου Άργους - Μυκηνών,488,287,10,0,10,277,116,38,2,21,12,31,45,4,0,34,0,0,55,2,0,22,10,16,17,3,1,0,0,1,12,1,1,2,0,5,6,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,2,1,0,0,0,0,8,5
44 - Αργολίδος,96 E.T. Δήμου Άργους - Μυκηνών,419,297,10,1,11,286,98,22,7,10,36,18,47,14,9,11,2,0,56,1,1,34,4,12,40,4,1,15,4,2,17,2,2,1,0,6,6,0,2,1,3,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,5,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,2,0,0,1,0,1,1,5,5
44 - Αργολίδος,97 E.T. Δήμου Άργους - Μυκηνών,395,266,4,0,4,262,78,25,3,6,19,22,55,5,20,13,5,0,64,2,1,33,4,15,22,1,0,9,0,1,9,2,0,0,0,4,13,2,2,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,11,1,6,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
44 - Αργολίδος,98 E.T. Δήμου Άργους - Μυκηνών,499,322,11,2,13,309,97,30,3,10,17,30,61,28,5,11,6,1,60,2,1,21,13,19,39,3,4,2,1,26,10,2,3,0,0,2,6,0,1,1,3,0,0,0,2,1,0,0,1,0,0,0,1,5,2,2,3,0,1,0,4,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,4,0,2,1,0,0,1,1,2,0,0,0,1,1,9,6
44 - Αργολίδος,99 E.T. Δήμου Άργους - Μυκηνών,516,341,9,1,10,331,101,26,15,6,10,42,77,25,5,27,10,3,61,4,1,23,10,22,55,8,3,5,0,36,9,2,2,0,1,3,2,1,0,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,13,8
44 - Αργολίδος,100 E.T. Δήμου Άργους - Μυκηνών,511,370,9,1,10,360,158,60,4,7,22,56,59,19,4,12,4,2,36,1,0,16,4,14,41,0,1,1,0,37,15,3,1,1,0,5,13,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,7,3,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,3,2,2,0,2,2,0,0,12,6
44 - Αργολίδος,101 E.T. Δήμου Άργους - Μυκηνών,504,331,7,2,9,322,116,28,9,13,28,28,55,34,1,12,4,1,53,1,1,22,14,14,35,1,0,1,1,23,15,1,4,0,2,6,4,2,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,1,2,1,0,0,0,0,0,0,0,4,0,0,1,1,0,2,1,1,0,1,1,3,0,0,1,1,0,2,1,6,0,2,1,0,0,12,6
44 - Αργολίδος,102 E.T. Δήμου Άργους - Μυκηνών,496,342,3,1,4,338,148,48,13,8,28,45,44,14,6,12,4,1,58,1,0,31,3,17,28,1,0,3,0,21,18,3,3,0,1,2,6,1,1,0,1,0,2,2,0,0,0,0,5,0,0,1,3,2,1,1,2,1,1,0,10,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,9,4
44 - Αργολίδος,103 E.T. Δήμου Επιδαύρου,430,275,2,1,3,272,153,79,6,28,14,8,21,15,1,2,0,1,28,0,1,13,1,10,14,11,0,0,0,1,17,8,4,0,0,1,3,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,27,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,0
44 - Αργολίδος,104 E.T. Δήμου Επιδαύρου,449,292,13,1,14,278,150,58,10,19,21,19,38,13,1,10,9,1,22,0,0,16,2,1,8,6,0,0,0,0,9,3,1,0,0,1,5,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,3,3,2,0,2,2,0,0,0,0,3,3
