ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέα,ΞΑΝΘΗ ΧΑΡΙΚΛΕΙΑ του Ματθαίου,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΚΟΝΤΟΤΟΛΗ ΜΑΡΙΝΑ του Γεωργίου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΙΚΡΙΚΑΣ ΕΛΕΥΘΕΡΙΟΣ του Βασιλείου,ΧΑΪΔΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενελάου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΖΟΛΩΤΑ ΣΤΥΛΙΑΝΗ (ΛΙΑΝΑ) του Γεωργίου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΚΑΡΡΑ - ΖΟΥΖΟΥΛΑ ΙΩΑΝΝΑ του Βάιου,ΚΩΣΤΟΥΛΗΣ ΧΡΗΣΤΟΣ του Ζήση,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΟΙΚΟΝΟΜΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΣΤΑΜΟΥ ΕΥΘΥΜΙΑ του Ελευθερίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΓΥΡΟΠΟΥΛΟΥ ΧΑΡΑΛΑΜΠΙΑ του Κωνσταντίνου,ΚΑΛΑΜΠΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Ματθαίου,ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου,ΜΠΑΚΑΛΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΑΠΟΥΛΙΔΗΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΑΣ ΕΥΘΥΜΙΟΣ του Ιωάννη,ΚΟΚΟΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Βάιου,ΜΑΡΑΓΚΟΥ ΙΟΒΗ του Γεωργίου,ΜΠΕΓΛΕΡΙΔΟΥ ΕΛΕΝΗ του Αλέξανδρου,ΠΑΠΑΘΑΝΑΣΙΟΥ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΙΑΝΝΕΤΟΒΑ ΛΕΝΚΑ του Αιμήλ,ΝΙΖΑΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΜΟΥΤΗΣ ΘΩΜΑΣ του Δημητρίου,Κ.Κ.Ε. (μ-λ),ΓΚΟΥΝΤΟΥΡΑ ΕΥΑΓΓΕΛΗ του Ιωάννη,ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΑΡΑΣ ΛΑΜΠΡΟΣ του Χρήστου,ΜΗΤΡΟΠΑΝΟΥ ΜΥΡΣΙΝΗ του Δημητρίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,Κίνημα 21,ΜΠΙΤΟΣ ΗΛΙΑΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΡΙΝΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΡΙΝΙΩΤΑΚΗ ΑΙΜΙΛΙΑ του Ιωάννη,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,ΤΣΙΑΣΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΝΙΚΗ,ΑΥΤΖΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΓΕΩΡΓΑΔΑΚΗ ΙΦΙΓΕΝΕΙΑ του Γεωργίου,ΚΑΛΑΜΠΑΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΑΛΛΑΣ ΦΩΤΙΟΣ του Γεωργίου,κοινωνία αξιών,ΤΥΜΠΑΣ ΓΡΗΓΟΡΙΟΣ του Ηλία,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΖΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΚΟΣ ΣΩΤΗΡΙΟΣ του Αθανασίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασίλειου,ΛΙΑΠΗ ΕΙΡΗΝΗ ΚΩΝΣΤΑΝΤΙΝΑ του Δημητρίου,Ένωση Κεντρώων,ΓΟΥΡΓΙΩΤΗ ΣΤΑΜΑΤΙΑ του Κωνσταντίνου,ΜΗΤΡΟΠΟΥΛΟΥ ΑΓΑΘΗ του Διονύσιου,ΣΚΛΗΒΑΓΚΟΣ ΣΤΑΥΡΟΣ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΛΟΓΗΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΟΛΙΑ ΓΙΑΝΝΟΥΛΑ του Φωτίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΜΠΑΛΑΝΗΣ ΑΓΓΕΛΟΣ του Γρηγορίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΤΑΛΑΣ ΠΑΥΛΟΣ του Στεφάνου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΝΤΑΡΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΓΕΡΟΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ του Σωτηρίου,ΔΕΛΙΤΖΙΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΛΑΛΑ ΒΑΓΓΙΕΛ του Παντελή,ΜΠΟΖΟΒΙΤΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,Οικολόγοι Πράσινοι,ΤΖΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΕΑΝ...,ΚΟΤΟΠΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΝΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,265 E.T. Δήμου Τρικκαίων,536,364,5,0,5,359,146,34,37,15,30,74,28,76,21,23,25,16,29,5,43,1,12,10,2,3,28,31,6,12,4,4,5,14,10,2,2,2,0,0,3,17,0,1,2,2,4,4,2,0,2,0,1,0,0,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,13,0,1,10,9,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,1,1,0,0,0,2,1,2,0,1,1,1,0,0,1,0,1,1,2,1,2,1
24 - Τρικάλων,266 E.T. Δήμου Τρικκαίων,549,388,9,3,12,376,153,31,51,15,46,76,24,82,24,26,19,28,20,2,46,3,20,5,6,6,19,27,14,13,3,1,2,7,8,3,4,0,4,0,0,10,1,1,0,5,3,3,3,0,2,1,3,0,0,0,1,1,0,0,3,0,1,1,1,3,2,3,0,0,1,0,13,1,0,9,7,2,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,2,2,2,1,1,3,1,0,0,0,0,0,0,0,3,2,1,1,1,1,4,3
24 - Τρικάλων,267 E.T. Δήμου Τρικκαίων,545,359,8,2,10,349,143,39,41,10,29,72,27,65,16,16,13,19,13,3,44,3,13,10,3,1,25,35,14,13,6,7,2,5,8,1,1,2,3,0,1,12,0,1,3,2,2,4,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,7,0,0,0,2,9,3,1,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,4,4,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,5,4
24 - Τρικάλων,268 E.T. Δήμου Τρικκαίων,546,369,9,5,14,355,144,26,36,9,48,59,41,55,21,14,12,17,11,1,63,6,17,11,14,3,37,36,10,12,4,2,8,13,4,1,1,0,0,0,0,9,0,3,0,1,3,5,0,0,0,0,3,1,0,2,1,2,0,0,3,2,1,1,1,2,0,4,2,1,1,1,6,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,4,2,4,0,0,0,3,2,2,2,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,11,11
24 - Τρικάλων,269 E.T. Δήμου Τρικκαίων,532,365,7,4,11,354,120,25,49,8,21,63,24,72,16,22,21,16,19,1,64,6,10,10,5,1,43,28,19,8,3,6,4,3,10,4,2,1,1,1,1,16,1,0,2,5,5,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,2,0,0,1,14,3,2,9,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,2,0,0,2,1,2,0,3,0,0,3,3,0,0,1,1,0,0,0,0,10,7
24 - Τρικάλων,270 E.T. Δήμου Τρικκαίων,534,361,4,2,6,355,147,25,53,17,38,73,35,77,19,26,18,24,14,6,37,7,14,8,1,3,27,28,10,11,1,2,5,5,4,1,2,1,0,0,0,16,3,2,3,6,3,3,0,0,0,0,1,0,1,0,0,0,0,0,5,2,1,2,2,2,2,1,0,0,0,0,18,0,0,14,13,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3,2,0,0,3,2,1,0,0,1,0,0,0,1,1,2,2,1,1,5,5
24 - Τρικάλων,271 E.T. Δήμου Τρικκαίων,550,379,3,1,4,375,158,22,63,9,32,75,31,94,18,31,16,29,21,7,49,3,16,13,5,3,25,27,12,12,5,4,4,5,5,1,1,0,1,1,0,8,4,3,0,3,3,1,1,0,0,0,2,2,1,1,0,0,0,0,3,0,1,0,3,0,0,3,0,1,1,0,9,1,3,7,4,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,2
24 - Τρικάλων,272 E.T. Δήμου Τρικκαίων,536,361,12,0,12,349,150,29,42,5,29,86,30,73,14,26,17,21,17,4,32,4,11,6,4,3,12,30,13,13,4,2,6,9,5,1,0,0,0,1,2,13,2,2,0,2,4,7,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,0,0,0,21,3,2,14,10,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,2,3,2,3,2,1,0,0,0,0,0,1,2,1,0,0,0,0,3,2
24 - Τρικάλων,273 E.T. Δήμου Τρικκαίων,545,370,6,4,10,360,151,31,40,7,34,80,37,91,19,20,17,27,35,10,27,4,12,4,1,3,13,37,13,18,2,4,7,11,9,4,2,2,0,0,1,6,0,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,3,0,3,1,0,0,0,5,2,0,0,0,10,3,1,8,4,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,3,2,1,0,1,1,0,0,4,0,2,2,1,1,1,0,0,2,1,0,0,3,2
24 - Τρικάλων,274 E.T. Δήμου Τρικκαίων,537,350,8,2,10,340,145,17,41,8,57,65,32,79,15,30,27,20,25,4,37,4,11,7,2,3,23,21,13,6,1,1,6,5,16,5,6,2,5,3,4,9,0,0,1,1,4,5,0,0,0,0,1,0,1,0,0,0,0,0,4,0,4,0,3,0,0,5,1,0,0,2,10,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,2,2,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
24 - Τρικάλων,275 E.T. Δήμου Τρικκαίων,545,373,7,1,8,365,155,28,52,12,29,88,22,80,20,32,21,22,17,3,49,5,17,7,6,6,32,29,11,7,4,3,4,8,6,2,3,1,0,0,1,5,2,0,1,2,2,1,1,0,1,0,4,1,0,1,0,3,0,0,2,0,1,0,2,1,0,4,1,0,0,3,17,1,2,15,11,0,0,0,0,0,0,1,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,6,2
24 - Τρικάλων,276 E.T. Δήμου Τρικκαίων,521,420,15,3,18,402,170,24,47,15,39,83,46,91,20,40,16,28,21,5,43,4,17,5,2,2,18,24,4,9,4,0,5,1,9,4,4,2,1,0,1,12,0,0,2,2,3,4,2,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,3,2,1,1,1,0,0,23,4,1,19,10,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,5,3,1,1,2,1,3,1,2,0,0,0,1,0,0,2,2,0,0,0,0,4,1
24 - Τρικάλων,277 E.T. Δήμου Τρικκαίων,341,231,1,0,1,230,96,17,39,4,20,53,18,43,10,13,20,10,10,5,23,1,11,7,0,0,13,31,9,4,2,8,3,11,3,3,1,0,0,0,1,13,0,0,10,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,0,0,2,2,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,4,4
24 - Τρικάλων,278 E.T. Δήμου Τρικκαίων,440,220,1,0,1,219,89,15,34,4,32,65,14,56,49,6,4,10,10,2,21,2,3,15,2,3,17,37,9,27,1,3,3,21,2,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2
24 - Τρικάλων,279 E.T. Δήμου Τρικκαίων,431,238,3,0,3,235,129,14,47,1,45,82,25,43,29,8,12,1,8,1,19,0,8,5,3,1,11,17,2,8,0,2,2,8,3,1,0,0,1,0,0,3,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,1,0,0,3,6,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2
24 - Τρικάλων,280 E.T. Δήμου Τρικκαίων,408,230,0,1,1,229,116,13,42,2,43,45,27,42,34,9,5,3,2,0,21,2,7,3,3,1,11,25,8,15,1,1,2,17,6,1,1,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
24 - Τρικάλων,281 E.T. Δήμου Τρικκαίων,447,244,1,1,2,242,140,51,31,7,22,90,24,46,13,13,6,4,19,2,24,3,6,2,1,0,14,11,2,3,0,2,2,7,3,0,0,0,1,0,0,5,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
24 - Τρικάλων,282 E.T. Δήμου Τρικκαίων,474,284,2,0,2,282,186,31,50,3,49,103,46,37,15,16,11,0,8,1,26,2,5,15,0,3,16,9,4,1,0,3,0,3,4,1,0,0,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,8,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24 - Τρικάλων,283 E.T. Δήμου Τρικκαίων,324,206,0,1,1,205,105,19,21,4,45,56,30,25,14,8,8,2,5,0,34,4,6,8,7,1,26,24,3,8,3,0,6,18,3,1,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,1,0,0,0,0,0,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24 - Τρικάλων,284 E.T. Δήμου Τρικκαίων,219,145,2,0,2,143,63,15,31,4,14,24,10,34,9,14,21,3,3,0,7,1,2,1,1,0,5,15,1,7,0,1,0,12,3,1,2,0,0,0,1,1,0,0,0,0,1,0,5,0,2,3,2,1,0,0,1,2,0,0,5,0,1,1,4,1,1,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,285 E.T. Δήμου Τρικκαίων,563,318,6,2,8,310,135,34,36,4,27,75,12,57,15,22,11,11,9,3,30,3,11,2,6,1,19,34,11,13,3,1,2,14,11,8,1,2,3,1,1,8,1,1,1,0,5,1,4,0,1,2,2,0,1,0,2,0,0,0,1,0,1,0,0,2,1,3,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,2,3,0,0,0,2,0,0,3,2,3,2,2,2,4,2
24 - Τρικάλων,286 E.T. Δήμου Τρικκαίων,426,277,6,1,7,270,106,12,27,3,25,74,25,64,20,30,7,9,18,4,25,1,10,4,1,1,13,19,7,8,2,2,0,12,10,4,0,1,0,1,3,4,0,2,1,0,1,1,4,0,4,4,0,0,0,0,0,0,0,0,6,1,4,2,1,0,0,12,0,1,0,12,10,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,4
24 - Τρικάλων,287 E.T. Δήμου Τρικκαίων,423,250,2,1,3,247,128,15,52,0,26,86,17,40,27,14,14,1,12,0,29,3,12,3,0,1,24,20,9,8,1,2,4,3,9,1,5,6,0,0,4,0,0,0,0,0,0,0,4,0,1,3,1,0,0,0,1,0,0,0,1,0,1,0,0,4,1,3,2,1,1,0,5,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24 - Τρικάλων,288 E.T. Δήμου Τρικκαίων,390,230,0,1,1,229,118,30,27,6,21,70,20,38,12,9,9,8,14,1,23,0,4,6,0,0,20,17,5,7,1,1,3,6,6,2,2,2,1,0,0,2,1,1,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3
24 - Τρικάλων,289 E.T. Δήμου Τρικκαίων,443,268,11,4,15,253,126,18,35,5,17,94,15,38,14,15,2,8,8,2,18,2,7,0,0,3,8,30,2,19,1,1,0,22,11,2,0,0,1,1,2,5,3,0,0,0,2,3,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,1
24 - Τρικάλων,290 E.T. Δήμου Τρικκαίων,269,170,1,1,2,168,132,25,45,4,48,100,18,5,2,1,1,2,1,0,12,2,3,0,0,2,8,1,1,0,0,0,0,0,7,1,2,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24 - Τρικάλων,291 E.T. Δήμου Φαρκαδόνας,421,161,2,1,3,158,87,15,37,4,16,42,25,29,5,11,4,2,20,0,25,5,9,6,5,0,11,1,0,0,1,0,0,1,3,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
24 - Τρικάλων,292 E.T. Δήμου Φαρκαδόνας,450,122,0,2,2,120,49,6,23,1,20,25,11,27,6,8,6,3,15,3,24,3,14,8,4,1,16,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2
24 - Τρικάλων,293 E.T. Δήμου Φαρκαδόνας,443,134,0,0,0,134,82,16,24,1,17,55,29,11,1,3,3,3,5,1,22,5,8,6,1,1,14,5,1,3,0,0,3,0,5,3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24 - Τρικάλων,294 E.T. Δήμου Φαρκαδόνας,421,141,12,1,13,128,66,6,30,2,22,42,15,25,12,16,5,3,2,3,12,0,8,4,0,2,6,6,0,6,0,0,6,0,5,2,1,3,0,1,0,3,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24 - Τρικάλων,295 E.T. Δήμου Φαρκαδόνας,404,128,6,0,6,122,58,7,23,1,16,32,22,30,3,13,7,1,18,0,12,1,3,3,1,2,8,1,0,1,1,0,0,0,4,2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,4,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
24 - Τρικάλων,296 E.T. Δήμου Φαρκαδόνας,434,131,2,0,2,129,53,9,15,1,10,31,15,21,9,12,4,4,7,3,20,4,9,6,4,2,8,17,1,15,2,2,8,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24 - Τρικάλων,297 E.T. Δήμου Φαρκαδόνας,423,125,1,0,1,124,60,7,14,5,22,39,10,17,2,8,2,1,11,0,33,5,17,11,0,3,17,6,0,2,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,298 E.T. Δήμου Φαρκαδόνας,433,138,4,2,6,132,76,11,37,5,27,37,10,25,4,9,4,3,18,1,15,0,8,3,1,2,10,6,0,3,1,0,2,0,4,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
