ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΑΝΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Ευαγγέλου,ΚΟΤΡΩΝΙΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΑΚΡΗ-ΘΕΟΔΩΡΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΟΙΚΟΝΟΜΟΥ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Δημητρίου,ΣΙΜΟΥ-ΠΑΛΑΙΟΛΟΓΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Ηλία,ΣΤΑΪΚΟΥΡΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΓΙΑΒΡΗ ΠΑΡΑΣΚΕΥΗ του Θεοφάνη,ΚΑΡΑΦΕΡΗ ΑΡΓΥΡΩ του Νικολάου,ΛΑΖΟΥ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΛΟΥΚΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΟΥΤΣΑΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΣΑΡΑΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΤΕΡΡΙΩΤΗ ΚΩΝΣΤΑΝΤΙΑ του Παναγιώτη,ΒΕΝΤΟΥΡΗ - ΝΑΣΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Κωνσταντίνου -Βασιλείου,ΜΑΣΤΡΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΠΕΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΠΑΠΑΓΟΡΑΣ ΑΝΤΩΝΙΟΣ του Αθανασίου,ΤΣΩΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΓΕΡΟΚΟΥΔΗ ΔΗΜΗΤΡΑ του Αθανασίου,ΜΠΑΣΔΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΦΟΥΤΣΟΥ ΑΝΤΡΙΑΝΑ του Γεωργίου,ΠΑΣΟΥΛΑΣ ΧΡΙΣΤΟΣ του Γεωργίου,ΠΟΛΙΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΝΤΖΟΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΒΟΥΡΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΛΑΪΛΑΚΙΔΟΥ ΕΛΠΙΣ του Λαζάρου,ΜΠΟΧΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θωμά,ΜΥΛΩΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΖΑΜΑΝΗΣ ΔΟΝΑΤΟΣ του Οδυσσέα,ΚΟΤΡΩΝΗΣ ΙΩΑΝΝΗΣ του Χρήστου,ΡΑΜΜΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,ΤΣΑΚΑΛΟΥ ΑΡΓΥΡΟΥΛΑ (ΥΡΩ) του Ιωάννη,ΤΣΙΡΩΝΗΣ ΜΙΛΤΙΑΔΗΣ του Ιωάννη,ΦΥΣΟΛΟΗΣ ΑΝΑΣΤΑΣΙΟΣ-ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΛΑΟΥΤΑΡΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΒΕΡΟΥΣΗ ΣΟΦΙΑ του Γεωργίου,ΓΑΛΑΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΤΕΝΑ ΣΜΑΡΩ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΛΑΚΙΩΤΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΔΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΖΟΥΜΠΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΕΛΕΤΗ ΧΡΥΣΑΝΘΗ του Αλεξάνδρου,ΜΕΛΛΙΟΣ ΙΩΑΝΝΗΣ του Φωτίου,ΤΖΙΟΥΒΑΡΑ ΟΛΥΜΠΙΑ ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,Κίνημα 21,ΖΑΧΑΡΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΤΣΙΤΟΥΡΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Βασιλείου,ΜΑΡΑΝΔΙΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΑΛΑΙΟΛΟΓΟΥ ΜΑΡΙΑ του Λάμπρου,ΣΙΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΝΙΚΗ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,ΚΑΡΑΤΖΑ ΟΛΓΑ του Πέτρου,ΤΥΡΜΠΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΦΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννου,κοινωνία αξιών,ΚΑΛΛΙΩΡΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΟΥΡΣΑΙΤΙΔΗΣ ΠΕΡΙΚΛΗΣ του Χαράλαμπου,ΣΙΨΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΠΟΛΥΔΕΥΚΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΚΑΡΑΜΗΤΣΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΥΒΩΤΙΔΟΥ ΔΟΜΝΙΚΗ του Παναγιώτη,ΤΑΓΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,Ένωση Κεντρώων,ΚΑΡΑΒΕΛΟΥ ΑΡΓΥΡΟΥΛΑ του Ευθυμίου,ΣΑΒΒΙΔΗΣ - ΒΑΣΙΛΕΙΑΔΗΣ ΛΑΖΑΡΟΣ του Ευστάθιου,ΧΛΙΑΠΑ ΜΑΡΙΑ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΤΣΑΟΥΝΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΣΑΝΤΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΟΥΣΤΑΚΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΠΑΝΟΥ ΧΡΗΣΤΟΣ του Ευσταθίου,ΦΥΚΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΗΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΑΓΚΛΑΡΑ ΕΥΘΑΛΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΚΩΣΤΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Οικολόγοι Πράσινοι,ΑΔΑΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΠΑ ΑΝΝΑ του Κωνσταντίνου,ΣΚΑΜΑΓΚΟΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,ΕΑΝ...,ΛΕΜΟΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΕΒΕΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΛΕΞΙΟΥ ΑΝΑΡΓΥΡΟΣ του Αλεξάνδρου,ΑΝΑΣΤΑΣΙΟΥ ΔΗΜΗΤΡΑ του Βασιλείου,ΘΕΟΦΑΝΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κοσμά,ΛΙΘΑΔΙΩΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΙΧΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΟΝΔΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου
33 - Φθιώτιδας,157 E.T. Δήμου Λαμιέων,521,369,3,2,5,364,155,16,43,22,70,9,92,88,13,9,25,9,17,55,38,3,9,3,14,2,22,23,0,5,9,1,1,3,6,3,0,4,0,0,2,10,3,0,2,1,3,1,1,0,3,0,1,0,0,5,1,1,1,0,0,3,0,0,1,0,2,1,1,1,0,9,4,0,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,1,0,0,2,2,0,0,2,1,7,2,2,4,0,0,1,0,5,1,0,2,1,0,0
33 - Φθιώτιδας,158 E.T. Δήμου Λαμιέων,528,372,6,1,7,365,127,8,36,17,66,4,76,86,6,9,16,17,13,68,45,2,9,11,17,3,23,28,0,6,4,3,1,2,6,0,2,3,0,0,2,15,8,2,2,0,5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,25,9,8,3,9,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,3,0,1,2,2,3,1,5,3,0,0,1,1,0,0,2,1,1,1,4,2,2,2,1,1,0
33 - Φθιώτιδας,159 E.T. Δήμου Λαμιέων,493,361,4,3,7,354,133,7,43,18,68,4,81,81,7,7,22,21,12,57,44,3,12,10,10,5,17,23,0,7,11,0,1,1,15,8,5,4,4,0,4,15,11,3,6,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,5,3,3,2,3,2,2,1,1,15,3,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,5,2,0,1,0,0,1
33 - Φθιώτιδας,160 E.T. Δήμου Λαμιέων,556,320,4,2,6,314,131,6,26,19,74,4,79,71,3,9,13,11,16,52,35,6,8,11,5,4,14,18,0,4,5,3,0,2,14,1,3,6,2,2,2,6,2,0,2,1,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,3,1,1,0,0,11,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,0,0,0,0,0,0,1,1,3,3,1,0,2,1,0,0,3,2,0,0,5,0,3,2,1,0,0
33 - Φθιώτιδας,161 E.T. Δήμου Λαμιέων,563,365,2,2,4,361,155,5,46,19,69,2,104,78,4,10,14,23,23,45,28,5,3,5,9,2,13,30,0,9,5,3,1,1,20,6,5,7,6,1,3,5,1,1,2,2,2,1,4,3,1,1,1,0,0,1,0,0,0,0,0,0,2,2,5,5,3,1,0,1,0,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,0,1,0,3,0,1,2,0,0,0,0,7,2,2,2,1,0,2
33 - Φθιώτιδας,162 E.T. Δήμου Λαμιέων,579,371,9,3,12,359,146,7,39,14,60,6,86,72,4,6,12,11,24,45,41,5,9,7,13,2,18,21,0,6,4,2,0,1,11,8,3,3,1,1,0,9,1,0,4,0,1,0,5,5,0,0,0,0,0,1,0,0,0,0,1,0,3,1,4,2,5,0,4,0,0,12,3,3,4,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,1,0,0,2,2,1,0,1,1,0,0,3,0,0,1,0,0,1,0,15,3,4,1,2,0,1
33 - Φθιώτιδας,163 E.T. Δήμου Λαμιέων,570,347,4,0,4,343,110,5,24,6,44,2,76,90,7,9,13,17,25,53,49,5,12,4,21,4,19,14,0,0,6,2,1,0,23,9,5,6,1,1,1,3,1,0,1,0,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,4,2,7,6,3,0,0,2,2,14,5,6,3,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,2,2,1,0,0,0,0,1,1,0,0,2,2,0,0,3,2,0,2,1,1,0,0,8,2,2,0,0,0,1
33 - Φθιώτιδας,164 E.T. Δήμου Λαμιέων,563,346,11,1,12,334,127,4,32,19,50,2,82,73,6,6,22,8,19,47,48,7,7,7,21,2,27,20,0,3,6,4,0,1,18,5,4,4,1,2,4,6,1,0,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,15,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,2,2,3,2,1,1,2,0,0,1,0,0,3,0,4,1,2,1,1,3,0
33 - Φθιώτιδας,165 E.T. Δήμου Λαμιέων,553,310,2,3,5,305,117,3,28,13,57,1,73,71,4,4,16,11,20,44,40,6,6,5,10,6,17,18,0,5,7,2,1,2,10,1,2,2,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,1,1,0,1,0,0,9,3,5,2,2,0,0,1,1,1,0,0,0,0,1,1,1,3,0,0,0,2,1,6,3,1,0,3,0,0,2,2,5,3,0,0,2,1,1,0,1,1,0,0,7,3,2,0,0,0,0
33 - Φθιώτιδας,166 E.T. Δήμου Λαμιέων,541,319,6,1,7,312,138,12,20,14,64,4,96,67,4,11,12,16,16,39,21,3,2,1,8,3,9,14,0,3,5,0,0,0,16,7,1,4,1,0,1,11,3,0,3,1,1,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,3,1,3,1,3,0,0,0,1,13,2,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,0,1,0,7,2,1,2,1,1,1
33 - Φθιώτιδας,167 E.T. Δήμου Λαμιέων,538,315,6,3,9,306,122,5,29,11,56,5,88,67,1,9,14,16,11,42,29,4,7,5,8,1,8,19,0,2,4,0,1,0,18,10,4,1,1,1,1,3,1,1,0,0,0,0,2,2,0,0,0,0,0,3,1,0,0,1,0,0,4,4,1,1,2,0,2,1,1,9,2,2,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,1,1,0,0,1,1,0,3,3,6,6,0,0,2,1,1,1,2,2,3,1,6,1,2,1,1,1,0
33 - Φθιώτιδας,168 E.T. Δήμου Λαμιέων,560,358,7,1,8,350,119,8,36,19,52,0,78,95,4,8,25,30,11,64,40,6,8,4,18,4,17,22,0,7,5,2,0,3,24,8,7,7,0,1,3,13,2,0,4,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,4,3,2,0,0,12,5,3,2,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,3,2,0,0,4,0,2,1,0,0,0
33 - Φθιώτιδας,169 E.T. Δήμου Λαμιέων,575,423,7,2,9,414,174,6,36,29,84,2,108,95,10,13,18,18,19,42,37,5,5,3,14,4,19,16,0,6,2,2,0,2,23,4,10,4,1,5,2,3,1,2,1,1,0,0,1,1,0,0,0,0,0,3,0,0,1,2,0,1,1,0,2,1,8,2,3,3,1,11,4,2,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,1,1,0,0,1,0,2,1,5,1,2,2,5,1,3,0,2,1,0,0,16,5,5,6,4,0,2
33 - Φθιώτιδας,170 E.T. Δήμου Λαμιέων,568,395,9,2,11,384,179,10,31,19,93,2,113,81,4,8,22,12,7,61,28,2,8,0,12,3,9,18,0,3,7,0,1,3,17,7,2,4,1,2,0,13,5,0,2,1,1,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,4,3,5,0,3,0,0,10,4,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,2,1,1,0,0,0,2,1,2,2,0,0,4,2,2,0,0,0,0,0,7,1,2,4,0,1,1
33 - Φθιώτιδας,171 E.T. Δήμου Λαμιέων,556,383,9,1,10,373,152,10,44,25,70,7,92,83,7,15,14,19,12,54,28,3,8,2,17,1,4,20,0,1,10,2,0,1,22,11,5,5,1,3,6,10,5,0,2,2,3,0,1,1,1,0,0,0,0,3,0,1,1,2,0,0,3,2,4,1,3,1,2,1,0,8,4,4,1,1,0,0,1,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,2,0,0,2,0,0,0,4,4,5,4,1,0,5,2,1,2,0,0,0,0,13,6,2,4,2,0,0
33 - Φθιώτιδας,172 E.T. Δήμου Λαμιέων,563,370,10,5,15,355,157,14,47,12,75,5,106,77,9,11,15,16,12,53,25,0,7,0,8,3,16,17,0,4,9,0,0,2,21,10,6,5,3,1,2,7,1,1,3,0,0,0,2,2,0,0,0,0,0,5,1,1,1,1,0,2,6,4,3,2,6,2,1,1,1,8,2,6,0,4,1,1,0,0,0,0,0,0,0,1,1,1,5,2,5,0,3,3,1,1,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,6,2,3,2,0,1,0
33 - Φθιώτιδας,173 E.T. Δήμου Λαμιέων,563,357,9,3,12,345,145,7,25,15,74,3,85,93,1,12,16,25,14,61,25,2,4,5,11,2,11,25,0,6,11,2,1,1,15,6,3,1,1,1,2,6,2,1,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,1,10,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,0,0,0,0,2,0,0,0,4,2,3,0,1,0,0,0,6,0,1,1,1,0,0
33 - Φθιώτιδας,174 E.T. Δήμου Λαμιέων,533,344,2,3,5,339,118,9,34,19,47,2,72,103,5,20,19,21,6,63,26,2,5,3,11,3,11,23,0,2,6,2,0,3,18,4,12,3,2,0,1,9,5,1,0,0,1,0,2,2,0,0,0,0,0,1,0,1,0,0,1,0,5,5,6,0,1,0,1,1,0,11,5,2,2,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,0,1,1
33 - Φθιώτιδας,175 E.T. Δήμου Λαμιέων,463,333,9,6,15,318,118,5,33,20,65,2,54,78,11,14,17,7,18,44,38,4,5,7,8,11,20,19,0,3,5,3,1,1,14,2,5,6,2,0,0,8,5,2,2,1,2,0,2,1,1,1,1,0,0,4,0,0,2,3,0,2,1,1,4,2,3,2,2,0,0,12,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,3,2,1,0,1,1,2,1,0,0,0,0,0,0,2,2,1,1,1,0,0,0,4,1,2,0,0,0,1
33 - Φθιώτιδας,176 E.T. Δήμου Λαμιέων,454,313,3,0,3,310,133,10,49,22,60,3,69,80,18,18,14,17,14,48,43,6,13,6,14,8,20,18,0,1,4,6,1,2,6,3,3,0,0,0,0,4,2,1,2,0,1,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,0,1,0,1,8,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33 - Φθιώτιδας,177 E.T. Δήμου Λαμιέων,442,316,4,3,7,309,102,1,28,13,48,0,59,98,14,12,22,13,15,56,44,6,7,4,12,6,26,7,0,1,3,0,0,0,6,2,3,2,3,0,0,8,3,0,3,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,2,3,3,1,1,1,18,4,9,6,8,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,7,0,1,1,1,1,0
33 - Φθιώτιδας,178 E.T. Δήμου Λαμιέων,468,330,15,3,18,312,111,7,38,7,59,1,53,91,10,11,27,22,14,60,38,6,4,8,10,5,18,25,0,2,12,5,0,4,7,2,3,2,1,0,1,7,0,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,1,1,8,5,4,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,10,3,1,1,1,0,0
33 - Φθιώτιδας,179 E.T. Δήμου Λαμιέων,449,316,8,2,10,306,113,7,36,14,51,2,61,68,7,7,14,14,9,56,40,5,13,6,12,4,16,17,0,2,10,1,1,0,9,5,4,2,0,1,4,8,4,0,2,0,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,4,7,1,5,1,0,12,9,7,1,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,3,3,1,1,0,0,2,1,2,0,2,1,1,1,3,0,2,1,1,0,0
33 - Φθιώτιδας,180 E.T. Δήμου Λαμιέων,416,317,5,0,5,312,177,5,36,33,85,1,121,59,3,5,7,7,8,48,18,2,4,2,3,0,14,5,0,1,2,0,0,0,7,2,2,4,1,0,3,5,1,2,3,0,1,0,4,3,7,0,5,0,0,1,0,1,0,0,0,1,2,2,0,0,1,1,0,1,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,1,3,3,0,0,1,0,1,0,4,1,0,0,8,2,1,1,0,1,1
33 - Φθιώτιδας,181 E.T. Δήμου Λαμιέων,418,283,2,3,5,278,134,3,37,20,54,1,119,63,0,5,8,5,6,63,18,1,5,1,3,1,10,6,0,0,4,3,0,0,17,3,2,3,1,0,4,4,1,2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,4,1,1,0,0,8,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,4,1,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,5,1,1,1,1,0,0
33 - Φθιώτιδας,182 E.T. Δήμου Λαμιέων,493,319,6,0,6,313,148,6,36,29,70,4,84,48,2,2,9,9,11,30,38,6,7,9,9,0,23,17,0,0,12,0,8,1,16,1,7,6,4,0,0,6,1,0,1,0,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,11,6,5,3,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,1,1,1,2,2,0,0,2,0,1,0,2,1,2,2,9,4,4,1,1,3,0
33 - Φθιώτιδας,183 E.T. Δήμου Λαμιέων,489,320,5,0,5,315,123,9,41,38,52,4,59,80,6,11,11,15,9,61,37,2,2,4,13,3,28,19,0,2,7,1,3,0,8,3,1,2,2,0,3,11,2,0,1,0,5,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,3,2,5,2,1,1,1,0,0,11,5,6,3,3,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,3,1,0,0,6,0,1,1,0,0,0
33 - Φθιώτιδας,184 E.T. Δήμου Λαμιέων,493,316,4,3,7,309,112,3,37,14,42,4,64,69,7,12,13,13,9,53,40,5,6,8,9,2,30,22,0,3,2,0,10,0,21,12,9,0,2,0,2,6,2,0,0,2,1,1,2,1,2,0,1,0,0,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,6,3,2,2,2,0,0,0,0,0,2,2,0,0,7,3,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,6,3,1,2,1,0,0
33 - Φθιώτιδας,185 E.T. Δήμου Λαμιέων,319,214,1,2,3,211,124,3,32,22,75,1,86,24,3,1,2,1,1,20,31,1,9,1,5,0,25,7,0,2,2,0,0,0,6,1,2,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,3,1,1,0,0,0,1
33 - Φθιώτιδας,186 E.T. Δήμου Λαμιέων,417,272,5,0,5,267,137,3,24,29,62,6,103,47,3,7,7,9,2,39,29,10,9,1,6,1,19,10,0,0,5,4,1,0,10,1,2,1,0,5,2,5,2,1,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,12,5,11,1,1,2,2
33 - Φθιώτιδας,187 E.T. Δήμου Λαμιέων,306,198,3,1,4,194,95,3,22,15,48,0,61,26,1,1,11,8,3,14,29,2,2,5,10,1,16,17,0,9,1,1,0,0,7,1,0,1,0,1,0,4,2,0,1,0,1,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33 - Φθιώτιδας,188 E.T. Δήμου Λαμιέων,595,406,8,6,14,392,183,14,42,22,111,3,105,61,5,5,16,11,6,43,54,6,11,5,13,6,32,13,0,1,6,1,1,1,32,17,8,11,3,2,3,6,2,0,2,2,1,0,1,1,0,0,0,0,0,3,1,1,2,1,1,0,4,3,2,0,2,1,1,0,1,5,3,3,2,0,2,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,2,1,1,1,5,3,2,0,2,1,1,0,0,0,0,0,7,0,4,3,1,0,0
